moa 麼
toa 的
loa 了
noa 呢
hoa 呵
coa 着
doa 地
roa 得
paa 吧
paz 爸
maq 嗎
maz 嘛
bba 𠲎
tuk 厾
acb 贅
acf 專
acf 磚
acf 顓
acq 捶
act 拙
acz 惴
aha 諸
aha 櫧
ahq 煮
ahq 渚
ahz 翥
aia 之
aia 芝
aid 針
aid 斟
aid 箴
aid 鍼
aie 枕
aif 真
aif 甄
aif 畛
aih 脂
aih 祗
aik 職
aik 織
ain 至
ain 摯
ain 贄
ain 鷙
aip 執
aip 汁
aiq 止
aiq 址
aiq 趾
aiq 芷
air 診
air 疹
air 縝
air 畛
ais 蒸
ait 質
ait 蛭
ait 桎
ait 郅
ait 騭
aiv 震
aiv 振
aiv 賑
aiv 圳
aiw 拯
aix 證
aiy 指
aiy 旨
aiy 酯
aiz 志
aiz 誌
aiz 痣
ana 周
ana 州
ana 洲
ana 舟
ana 週
ana 賙
anf 諄
anf 肫
anh 錐
ank 燭
ank 矚
ank 囑
anq 帚
anr 準
anr 准
ans 鐘
ans 鍾
ans 忪
anw 種
anw 腫
anw 踵
anx 種
anz 咒
apa 朱
apa 珠
apa 侏
apa 邾
apa 硃
apk 祝
apk 粥
apq 主
apq 炷
aps 終
apx 眾
apz 注
apz 註
apz 鑄
apz 蛀
apz 疰
apz 炷
aqa 遮
aqk 酌
aqk 灼
aqk 妁
aqk 斫
aqk 焯
aqq 者
aqq 赭
aqq 鍺
aqs 章
aqs 彰
aqs 蟑
aqs 樟
aqs 璋
aqs 漳
aqs 獐
aqs 鄣
aqs 瞕
aqs 幛
aqw 掌
aqx 障
aqx 瘴
aqx 嶂
aqz 這
aqz 蔗
aqz 鷓
aqz 柘
ata 支
ata 枝
ata 祇
ata 肢
ata 吱
ata 卮
ata 栀
ata 眵
atb 制
atb 製
atc 佔
atd 詹
atd 瞻
atd 占
atf 氈
atj 招
atj 昭
atj 釗
atk 隻
atk 炙
atk 跖
atm 照
atm 詔
atp 摺
atp 懾
atp 囁
atq 只
atq 紙
atq 咫
atq 扺
atq 枳
ats 征
ats 正
ats 怔
att 折
att 浙
atu 沼
atv 戰
atv 顫
atw 整
atx 正
atx 政
atx 症
atz 忮
baj 袍
bak 薄
bak 泊
bak 箔
bak 礡
bak 亳
bam 暴
bam 曝
bas 旁
bas 彷
bas 膀
bas 螃
bau 抱
bax 傍
bax 徬
bay 倍
bay 蓓
bbb 吠
bbc 梵
bbd 凡
bbd 帆
bbe 犯
bbe 範
bbe 范
bbf 煩
bbf 繁
bbf 藩
bbf 樊
bbf 袢
bbf 蟠
bbf 礬
bbk 縛
bbp 乏
bbs 房
bbs 防
bbs 坊
bbs 魴
bbt 罰
bbt 伐
bbt 閥
bbt 筏
bbv 飯
bda 牌
bda 郫
bdq 罷
bdt 拔
bdv 辦
bdv 瓣
bdv 釆
bdz 稗
bef 胼
bef 駢
beh 鼙
bek 鷿
ber 辮
bes 瓶
bes 屏
bes 萍
bet 癟
bet 蹩
bew 並
bey 陛
bey 髀
bga 皮
bga 疲
bga 陂
bga 郫
bgq 被
bgr 辯
bgr 辨
bgs 平
bgs 評
bgs 坪
bgs 苹
bgs 枰
bgt 別
bgu 殍
bgv 卞
bgv 汴
bgv 弁
bgx 病
bif 頻
bif 蘋
bif 嬪
bif 顰
bih 琵
bih 毗
bih 蚍
bih 貔
bin 鼻
bin 枇
bin 芘
bir 牝
bir 臏
bjk 雹
bjs 龐
bjs 逄
bjw 棒
bjw 蚌
bkf 貧
bkh 邳
bkk 愎
bkn 備
bks 憑
bks 馮
bkt 弼
bky 圮
bla 符
bla 扶
bla 芙
bla 鳧
bla 瓿
blf 氛
blf 焚
blf 墳
blf 汾
blf 鼢
blf 棼
blh 肥
blh 淝
blh 腓
blk 服
blk 復
blk 伏
blk 馥
blk 匐
blk 菔
blk 茯
bln 翡
bln 狒
bln 痱
bln 怫
blq 父
blq 輔
blq 腐
blq 釜
blr 憤
bls 馮
bls 汎
bls 芃
blt 佛
blt 怫
blv 份
blx 鳳
blz 附
blz 鮒
bma 浮
bma 蜉
bma 涪
bma 罘
bma 桴
bmq 負
bmq 婦
bmq 阜
bms 逢
bms 縫
bmw 奉
bmx 縫
bmx 俸
bok 蔔
bok 匐
bok 仆
byq 部
byq 簿
bos 朋
bos 鵬
bos 棚
bos 硼
bpf 盆
bpf 湓
bpr 笨
bpr 体
bpt 勃
bpt 脖
bpt 孛
bpt 渤
bpt 荸
bpt 艴
bpt 鵓
bsa 婆
bsa 鄱
bsf 盤
bsf 蹣
bsf 瘢
bsf 磐
bsf 蟠
bsh 培
bsh 陪
bsh 賠
bsh 徘
bsh 碚
bsh 裴
bsn 背
bsn 佩
bsn 焙
bsn 珮
bsn 悖
bsn 孛
bsr 伴
bsr 拌
bst 拔
bst 跋
bst 魃
bst 鈸
bsv 叛
bsv 畔
bta 脾
bta 啤
bta 埤
bta 裨
bta 郫
btb 幣
btb 弊
btb 斃
btb 敝
btf 便
btj 嫖
btj 剽
btj 瓢
btj 螵
btk 闢
btm 驃
btq 婢
btu 膘
btv 便
btz 避
bua 裒
buk 曝
buk 瀑
buq 埠
buq 瓿
bus 蓬
bus 篷
bus 芃
bux 蹦
bya 葡
bya 樸
bya 蒲
bya 菩
bya 匍
byk 僕
bys 椪
byz 步
byz 捕
byz 哺
bza 爬
bza 扒
bza 琶
bza 杷
bza 耙
bzb 敗
bzb 唄
bzc 湴
bzh 排
bzh 俳
bzj 跑
bzj 咆
bzj 庖
bzj 匏
bzk 白
bzk 舶
bzk 鉑
bzk 帛
bzm 刨
bzn 憊
bzs 彭
bzs 澎
bzs 膨
bzs 棚
bzs 蟛
bzu 鮑
bzx 碰
cac 臢
cad 糌
cah 災
cah 栽
cah 哉
cah 甾
caj 遭
caj 糟
cak 作
cak 柞
cam 躁
cam 灶
can 再
can 載
caq 左
cas 贓
cas 臧
cau 早
cau 澡
cau 藻
cau 棗
cau 蚤
cau 繅
cau 繰
cav 讚
cav 贊
cav 攢
caw 髒
cax 葬
cay 載
cay 宰
cay 崽
caz 做
caz 佐
ccf 鐫
ccq 嘴
cdc 蘸
cde 嶄
cde 斬
cdk 責
cdk 咋
cdp 眨
cdr 盞
cds 爭
