韻	調	字	簡化字	推導音	校正音	罕用標記	註
?	?	打	打	?			
?	?	地	地	?			
?	?	佁	佁	?			
?	?	姂	姂	?			
?	?	疓	疓	?			
?	?	拐	拐	?			
?	?	窀	窀	?			
?	?	倄	倄	?			
?	?	栘	栘	?			
?	?	茝	茝	?			
?	?	推	推	?			
?	?	猲	猲	?			
?	?	䎎	䎎	?			
?	?	殜	殜	?			
?	?	墬	墬	?			
?	?	箉	箉	?			
?	?	蓷	蓷	?			
?	?	遪	遪	?			
?	?	㺗	㺗	?			
?	?	虥	虥	?			
?	?	鄹	鄹	?			
?	?	嬽	嬽	?			
?	?	鯫	鲰	?			
?	?	䑂	䑂	?			
?	?	譫	谵	?			
?	?	㶒	㶒	?			
?	?	臡	臡	?			
?	?	𡎻	𡎻	?			
?	?	𡰝	𡰝	?			
?	?	𡷝	𡷝	?			
?	?	𣤩	𣤩	?			
?	?	𣹵	𣹵	?			
?	?	𤜼	𤜼	?			
?	?	𥛚	𥛚	?			
?	?	𦑣	𦑣	?			
?	?	𦚪	𦚪	?			
?	?	𧾛	𧾛	?			
?	?	𩐱	𩐱	?			
?	?	𩬳	𩬳	?			
?	?	𩭿	𩭿	?			
?	?	𪒴	𪒴	?			
a	1	八	八	ba1			
a	1	丫	丫	ya1			
a	1	劜	劜	ya1			
a	1	叉	叉	cha1			
a	1	卅	卅	sa1			
a	1	圠	圠	ya1			
a	1	巴	巴	ba1			
a	1	帀	帀	za1			
a	1	扎	扎	zha1			
a	1	㘝	㘝	na1			
a	1	凹	凹	ya1			
a	1	加	加	ja1			
a	1	匝	匝	za1			
a	1	叭	叭	pa1			
a	1	扒	扒	ba1			
a	1	札	札	zha1			
a	1	汃	汃	pa1			
a	1	瓜	瓜	gua1			
a	1	甲	甲	ja1			
a	1	刖	刖	wa1			
a	1	夸	夸	kua1			
a	1	扱	插	cha1			
a	1	朳	朳	ba1			
a	1	汏	汏	ta1			
a	1	玐	玐	ba1			
a	1	穵	穵	ya1			
a	1	穵	穵	wa1			
a	1	㕇	㕇	la1			
a	1	㕯	㕯	na1			
a	1	㚫	㚫	sa1			
a	1	㤉	㤉	qa1			
a	1	冹	冹	fa1			
a	1	吧	吧	ba1			
a	1	吧	吧	pa1			
a	1	呀	呀	xa1			
a	1	圿	圿	ja1			
a	1	夾	夹	ja1			
a	1	妑	妑	pa1			
a	1	妠	妠	na1			
a	1	岈	岈	xa1			
a	1	忦	忦	ja1			
a	1	扴	扴	ja1			
a	1	杈	杈	cha1			
a	1	沙	沙	sha1			
a	1	沞	沞	za1			
a	1	芭	芭	ba1			
a	1	花	花	hua1			
a	1	迊	迊	za1			
a	1	㓣	㓣	qa1			
a	1	㓤	㓤	qa1			
a	1	㧓	㧓	gua1			
a	1	㱚	㱚	wa1			
a	1	㱜	㱜	zha1			
a	1	佮	佮	ta1			
a	1	佳	佳	ja1			
a	1	侘	侘	cha1			
a	1	刮	刮	gua1			
a	1	刷	刷	shua1			
a	1	刹	刹	cha1			
a	1	劼	劼	qa1			
a	1	呷	呷	xa1			
a	1	呾	呾	da1			
a	1	咀	咀	ya1			
a	1	咂	咂	za1			
a	1	咼	呙	kua1			
a	1	妲	妲	da1			
a	1	岬	岬	ja1			
a	1	帓	帓	ma1			
a	1	帕	帕	ma1			
a	1	庘	庘	ya1			
a	1	怖	怖	fa1			
a	1	怛	怛	da1			
a	1	抯	抯	zha1			
a	1	押	押	ja1			
a	1	押	押	ya1			
a	1	法	法	fa1			
a	1	狚	旦	da1			
a	1	矺	矺	da1			
a	1	肭	肭	na1			
a	1	茁	茁	zhua1			
a	1	茄	茄	ja1			
a	1	軋	轧	ya1			
a	1	迦	迦	ja1			
a	1	拉	拉	la1			
a	1	㰨	㰨	xa1			
a	1	㺴	㺴	ba1			
a	1	㿬	㿬	ba1			
a	1	䑡	䑡	cha1			
a	1	剌	剌	la1			
a	1	咤	咤	zha1			
a	1	咭	咭	qa1			
a	1	哆	哆	cha1			
a	1	哇	哇	ya1			
a	1	哇	哇	wa1			
a	1	奓	奓	zha1			
a	1	姱	姱	kua1			
a	1	娃	娃	ya1			
a	1	差	差	cha1			
a	1	帢	帢	qa1			
a	1	恰	恰	qa1			
a	1	挖	挖	wa1			
a	1	枷	枷	ja1			
a	1	柤	柤	zha1			
a	1	查	查	zha1			
a	1	査	査	zha1			
a	1	歪	歪	hua1			
a	1	洼	洼	ya1			
a	1	洼	洼	wa1			
a	1	炟	炟	da1			
a	1	狧	狧	ta1			
a	1	玾	玾	ja1			
a	1	珈	珈	ja1			
a	1	疤	疤	ba1			
a	1	疨	疨	xa1			
a	1	眨	眨	zha1			
a	1	砂	砂	sha1			
a	1	砎	砎	ja1			
a	1	笈	笈	cha1			
a	1	羍	羍	ta1			
a	1	耷	耷	da1			
a	1	胛	胛	ja1			
a	1	臿	臿	cha1			
a	1	荅	答	da1			
a	1	衲	衲	na1			
a	1	郟	郏	ja1			
a	1	㰪	㰪	ya1			
a	1	䀣	䀣	ma1			
a	1	䆘	䆘	ya1			
a	1	䎳	䎳	wa1			
a	1	䞙	䞙	za1			
a	1	哳	哳	zha1			
a	1	哵	哵	ba1			
a	1	家	家	ja1			
a	1	恝	恝	ja1			
a	1	捌	捌	ba1			
a	1	欱	欱	xa1			
a	1	浥	浥	ya1			
a	1	浾	浾	zha1			
a	1	畖	畖	wa1			
a	1	痂	痂	ja1			
a	1	痆	痆	na1			
a	1	眣	眣	zha1			
a	1	窊	窊	wa1			
a	1	笆	笆	ba1			
a	1	納	纳	na1			
a	1	紗	纱	sha1			
a	1	胯	胯	kua1			
a	1	舥	舥	pa1			
a	1	莎	莎	sha1			
a	1	華	华	hua1			
a	1	蚆	蚆	ba1			
a	1	蚆	蚆	pa1			
a	1	袦	袦	na1			
a	1	趿	趿	sa1			
a	1	釟	釟	ba1			
a	1	㔠	㔠	xa1			
a	1	㛥	㛥	ta1			
a	1	㝞	㝞	ya1			
a	1	㡊	㡊	qa1			
a	1	㭭	㭭	ba1			
a	1	㰰	㰰	xa1			
a	1	㲚	㲚	sha1			
a	1	㹺	㹺	ta1			
a	1	㾑	㾑	da1			
a	1	㿯	㿯	da1			
a	1	䀨	䀨	xa1			
a	1	䀫	䀫	ja1			
a	1	䂒	䂒	qa1			
a	1	䄆	䄆	gua1			
a	1	䅊	䅊	zha1			
a	1	䖧	䖧	na1			
a	1	䚴	䚴	wa1			
a	1	䯇	䯇	kua1			
a	1	偛	偛	zha1			
a	1	唼	唼	sha1			
a	1	啑	啑	sha1			
a	1	喎	喎	kua1			
a	1	娺	娺	zhua1			
a	1	婐	婐	gua1			
a	1	婠	婠	wa1			
a	1	媧	娲	gua1			
a	1	帴	帴	sha1			
a	1	帹	帹	sha1			
a	1	戛	戛	ja1			
a	1	捺	捺	na1			
a	1	掐	掐	qa1			
a	1	桬	桬	sha1			
a	1	畣	畣	da1			
a	1	硈	硈	qa1			
a	1	秸	秸	ja1			
a	1	笚	笚	da1			
a	1	笝	笝	na1			
a	1	笪	笪	da1			
a	1	笳	笳	ja1			
a	1	紮	扎	zha1			
a	1	聉	聉	wa1			
a	1	聉	聉	zhua1			
a	1	菈	菈	la1			
a	1	萐	萐	sha1			
a	1	蚻	蚻	zha1			
a	1	袈	袈	ja1			
a	1	袷	袷	ja1			
a	1	袺	袺	ja1			
a	1	谺	谺	xa1			
a	1	豝	豝	ba1			
a	1	豽	豽	na1			
a	1	軜	軜	na1			
a	1	鈒	鈒	sa1			
a	1	殺	杀	sha1			
a	1	㑳	㑳	na1			
a	1	㛼	㛼	cha1			
a	1	㞚	㞚	sha1			
a	1	㞚	㞚	zha1			
a	1	㭼	㭼	ta1			
a	1	㷅	㷅	cha1			
a	1	䀴	䀴	ya1			
a	1	䛅	䛅	xa1			
a	1	䰲	䰲	ya1			
a	1	傄	傄	xa1			
a	1	傝	傝	ta1			
a	1	喋	喋	zha1			
a	1	喢	喢	cha1			
a	1	喢	喢	sha1			
a	1	嗒	嗒	da1			
a	1	嗒	嗒	ta1			
a	1	嗗	嗗	wa1			
a	1	嗢	嗢	wa1			
a	1	塔	塔	ta1			
a	1	插	插	cha1			
a	1	揠	揠	ya1			
a	1	搭	搭	ta1			
a	1	椏	桠	ya1			
a	1	歄	歄	gua1			
a	1	渣	渣	zha1			
a	1	溠	溠	zha1			
a	1	猰	猰	ja1			
a	1	猰	猰	ya1			
a	1	猳	猳	ja1			
a	1	發	发	fa1			
a	1	硰	硰	sha1			
a	1	答	答	da1			
a	1	絓	絓	kua1			
a	1	聐	聐	ya1			
a	1	腡	脶	gua1			
a	1	葜	葜	qa1			
a	1	葩	葩	pa1			
a	1	葭	葭	ja1			
a	1	蛙	蛙	wa1			
a	1	街	街	ja1			
a	1	裌	裌	ja1			
a	1	貀	貀	na1			
a	1	跏	跏	ja1			
a	1	達	达	ta1			
a	1	鈀	钯	ba1			
a	1	鈀	钯	pa1			
a	1	靫	靫	cha1			
a	1	靸	靸	sa1			
a	1	喇	喇	la1			
a	1	㑻	㑻	ma1			
a	1	㗙	㗙	na1			
a	1	㜓	㜓	da1			
a	1	㨥	㨥	na1			
a	1	㮖	㮖	ja1			
a	1	䃁	䃁	ya1			
a	1	䠸	䠸	kua1			
a	1	䤢	䤢	ba1			
a	1	䪏	䪏	na1			
a	1	䯉	䯉	wa1			
a	1	嘩	哗	hua1			
a	1	圔	圔	ya1			
a	1	塌	塌	ta1			
a	1	幏	幏	ja1			
a	1	揧	揧	la1			
a	1	搚	搚	la1			
a	1	摋	摋	sa1			
a	1	敮	敮	xa1			
a	1	楂	楂	zha1			
a	1	楋	楋	la1			
a	1	楔	楔	ja1			
a	1	楬	楬	qa1			
a	1	歃	歃	sha1			
a	1	溻	溻	ta1			
a	1	煆	煆	xa1			
a	1	煞	煞	sha1			
a	1	犌	犌	ja1			
a	1	睰	睰	ma1			
a	1	碒	碒	pa1			
a	1	窡	窡	zhua1			
a	1	筴	策	ja1			
a	1	翜	翜	sha1			
a	1	蒳	蒳	na1			
a	1	蔱	蔱	sha1			
a	1	裟	裟	sha1			
a	1	詧	詧	chua1			
a	1	誇	夸	kua1			
a	1	趏	趏	qa1			
a	1	趏	趏	gua1			
a	1	跨	跨	kua1			
a	1	跲	跲	ja1			
a	1	遢	遢	ta1			
a	1	鉀	钾	ja1			
a	1	閘	闸	ya1			
a	1	颬	颬	xa1			
a	1	馺	馺	sa1			
a	1	骱	骱	ja1			
a	1	㗨	㗨	xa1			
a	1	㜗	㜗	ca1			
a	1	㻝	㻝	la1			
a	1	㿴	㿴	da1			
a	1	䁍	䁍	qa1			
a	1	䈉	䈉	sha1			
a	1	䈋	䈋	ta1			
a	1	䍝	䍝	ta1			
a	1	䓙	䓙	kua1			
a	1	䓠	䓠	da1			
a	1	䓠	䓠	ta1			
a	1	䓭	䓭	cha1			
a	1	劀	劀	gua1			
a	1	劄	札	zha1			
a	1	嘁	嘁	za1			
a	1	嘉	嘉	ja1			
a	1	嘎	嘎	ja1			
a	1	察	察	chua1			
a	1	摺	摺	la1			
a	1	摺	摺	za1			
a	1	撾	挝	zhua1			
a	1	榝	榝	sha1			
a	1	榻	榻	ta1			
a	1	毾	毾	ta1			
a	1	漯	漯	ta1			
a	1	瘌	瘌	la1			
a	1	瘕	瘕	ja1			
a	1	碴	碴	zha1			
a	1	稭	稭	ja1			
a	1	窪	洼	wa1			
a	1	窫	窫	ya1			
a	1	箑	箑	sha1			
a	1	緺	緺	gua1			
a	1	翣	翣	sha1			
a	1	蝸	蜗	gua1			
a	1	褡	褡	da1			
a	1	辢	辢	la1			
a	1	辣	辣	la1			
a	1	靼	靼	da1			
a	1	鞂	鞂	ja1			
a	1	颯	飒	sa1			
a	1	颰	颰	fa1			
a	1	餄	餄	ja1			
a	1	㒓	㒓	ta1			
a	1	㩉	㩉	da1			
a	1	㩉	㩉	la1			
a	1	㪥	㪥	zha1			
a	1	䐒	䐒	zha1			
a	1	䓶	䓶	la1			
a	1	䙄	䙄	zha1			
a	1	噆	噆	za1			
a	1	噧	噧	ta1			
a	1	嫼	嫼	ya1			
a	1	撒	撒	sa1			
a	1	撘	撘	da1			
a	1	撻	挞	ta1			
a	1	擖	擖	zha1			
a	1	擖	擖	ja1			
a	1	擖	擖	qa1			
a	1	樝	樝	zha1			
a	1	檛	檛	zhua1			
a	1	澾	澾	ta1			
a	1	瞎	瞎	xa1			
a	1	磍	磍	ja1			
a	1	磍	磍	qa1			
a	1	膼	膼	zhua1			
a	1	艖	艖	cha1			
a	1	蝲	蝲	la1			
a	1	觰	觰	zha1			
a	1	踏	踏	ta1			
a	1	霅	霅	sa1			
a	1	霅	霅	zha1			
a	1	鞈	鞈	ja1			
a	1	韐	韐	ja1			
a	1	頡	颉	ja1			
a	1	髮	发	fa1			
a	1	魦	魦	sha1			
a	1	魳	魳	za1			
a	1	魶	魶	na1			
a	1	鴉	鸦	ya1			
a	1	㔍	㔍	chua1			
a	1	㪪	㪪	sa1			
a	1	㯓	㯓	ta1			
a	1	㯚	㯚	da1			
a	1	䐤	䐤	cha1			
a	1	䛽	䛽	zha1			
a	1	䝟	䝟	ya1			
a	1	䩡	䩡	ja1			
a	1	䫄	䫄	chua1			
a	1	䬊	䬊	sha1			
a	1	䴥	䴥	ja1			
a	1	䵣	䵣	da1			
a	1	嚃	嚃	ta1			
a	1	疀	疀	cha1			
a	1	皻	皻	zha1			
a	1	磖	磖	la1			
a	1	臈	臈	la1			
a	1	薩	萨	sa1			
a	1	豭	豭	ja1			
a	1	貑	貑	ja1			
a	1	錏	錏	ya1			
a	1	錔	錔	ta1			
a	1	錣	錣	zhua1			
a	1	霎	霎	sha1			
a	1	魼	魼	ta1			
a	1	鴐	鴐	ja1			
a	1	鴨	鸭	ya1			
a	1	㒝	㒝	wa1			
a	1	䟃	䟃	ca1			
a	1	䦪	䦪	ya1			
a	1	壓	压	ya1			
a	1	擦	擦	ca1			
a	1	攃	攃	ca1			
a	1	攃	攃	sa1			
a	1	濌	濌	ta1			
a	1	濕	湿	ta1			
a	1	簻	簻	zhua1			
a	1	譁	哗	hua1			
a	1	鍤	锸	cha1			
a	1	鎈	鎈	cha1			
a	1	鞜	鞜	ta1			
a	1	髽	髽	zhua1			
a	1	髿	髿	sha1			
a	1	鴰	鸹	gua1			
a	1	鴶	鴶	ja1			
a	1	㩢	㩢	ma1			
a	1	䉈	䉈	sa1			
a	1	䍼	䍼	za1			
a	1	䯞	䯞	kua1			
a	1	䵽	䵽	ca1			
a	1	擸	擸	la1			
a	1	檫	檫	chua1			
a	1	竵	竵	hua1			
a	1	蟼	蟼	ja1			
a	1	譀	譀	xa1			
a	1	邋	邋	la1			
a	1	鎩	铩	sha1			
a	1	鞢	鞢	zha1			
a	1	鞳	鞳	ta1			
a	1	騧	騧	gua1			
a	1	鯊	鲨	sha1			
a	1	鵊	鵊	ja1			
a	1	㿓	㿓	ja1			
a	1	䗶	䗶	la1			
a	1	䪚	䪚	da1			
a	1	䵬	䵬	ta1			
a	1	䶀	䶀	ta1			
a	1	攋	攋	la1			
a	1	獺	獭	cha1			
a	1	獺	獭	ta1			
a	1	礣	礣	ma1			
a	1	礤	礤	ca1			
a	1	襪	袜	wa1			
a	1	躂	躂	ta1			
a	1	鵶	鵶	ya1			
a	1	鵽	鵽	zhua1			
a	1	鼃	鼃	wa1			
a	1	䕓	䕓	chua1			
a	1	䦱	䦱	kua1			
a	1	䶎	䶎	xa1			
a	1	糲	粝	la1			
a	1	闥	闼	ta1			
a	1	鰈	鲽	ta1			
a	1	麚	麚	ja1			
a	1	䌨	䌨	ca1			
a	1	䶗	䶗	qa1			
a	1	䶘	䶘	la1			
a	1	囃	囃	ca1			
a	1	灋	灋	fa1			
a	1	韃	鞑	ta1			
a	1	鰨	鳎	ta1			
a	1	鷨	鷨	hua1			
a	1	癩	癞	la1			
a	1	臘	腊	la1			
a	1	蠟	蜡	la1			
a	1	䶛	䶛	la1			
