韻	字	簡化字	推導音	校正音	註
ai	叉		chai1		
ai	夊		chuai1		
ai	台		tai1		
ai	扠		chai1		
ai	芆		chai1		
ai	呆		dai1		
ai	毐		ai1		
ai	災	灾	zai1		
ai	灾		zai1		
ai	邰		tai1		
ai	乖		guai1		
ai	侅		gai1		
ai	侅		kai1		
ai	咍		hai1		
ai	孡		tai1		
ai	郂		gai1		
ai	陔		gai1		
ai	䞗		cai1		
ai	䞗		chai1		
ai	哀		ai1		
ai	哉		zai1		
ai	垓		gai1		
ai	奒		kai1		
ai	姟		gai1		
ai	峐		gai1		
ai	差		chai1		
ai	洼		wai1		
ai	皆		jai1		
ai	胎		tai1		
ai	荄		gai1		
ai	荄		jai1		
ai	虺		huai1		
ai	㔞		kuai1		
ai	㱾		kai1		
ai	㾂		hai1		
ai	唉		ai1		
ai	埃		ai1		
ai	晐		gai1		
ai	栽		zai1		
ai	毢		sai1		
ai	烖		zai1		
ai	胲		gai1		
ai	衰		chuai1		
ai	衰		shuai1		
ai	㶼		ai1		
ai	偕		jai1		
ai	偲		cai1		
ai	欸	唉	ai1		
ai	猜		cai1		
ai	痎		jai1		
ai	祴		gai1		
ai	釵	钗	chai1		
ai	階	阶	jai1		
ai	㚊		kai1		
ai	㼮		chai1		
ai	剴	剀	gai1		
ai	喈		jai1		
ai	堦		jai1		
ai	崴		wai1		
ai	崽		shai1		
ai	愢		sai1		
ai	揌		sai1		
ai	揩		qai1		
ai	渽		zai1		
ai	湝		jai1		
ai	溾		wai1		
ai	粞		sai1		
ai	絯		gai1		
ai	街		jai1		
ai	開	开	kai1		
ai	靫		chai1		
ai	㨟		gai1		
ai	㨤		kuai1		
ai	㾩		guai1		
ai	匯	汇	kuai1		
ai	搋		chai1		
ai	楷		jai1		
ai	腮		sai1		
ai	該	该	gai1		
ai	豥		gai1		
ai	賅	赅	gai1		
ai	㱯		gai1		
ai	䬵		gai1		
ai	摔		shuai1		
ai	榱		shuai1		
ai	獃	呆	dai1		
ai	睵		cai1		
ai	睵		zai1		
ai	碨		wai1		
ai	稭		jai1		
ai	蝔		jai1		
ai	䐤		chai1		
ai	䐩		gai1		
ai	䚡		sai1		
ai	篩	筛	shai1		
ai	薢		jai1		
ai	諰		shai1		
ai	鮐	鲐	tai1		
ai	懛		dai1		
ai	鍇	锴	jai1		
ai	齋	斋	zhai1		
ai	顋		sai1		
ai	瀤		wai1		
ai	鰓	鳃	sai1		
ai	鶛		jai1		
ai	䴜		wai1		
ai	䕸		jai1		
ai	籭		shai1		
ai	䭨		shuai1		
ai	䶣		gai1		
ai	䪎		shuai1		
ai	𠞊		chai1		
ai	𠦬		guai1		
ai	𡿦		zai1		
ai	𢓬		xai1		
ai	𢔡		qai1		
ai	𢦔		zai1		
ai	𢰇		yai1		
ai	𤆎		zai1		
ai	𤭧		jai1		
ai	𤸬		shuai1		
ai	𥳧		shai1		
ai	𥻄		qai1		
ai	𦂄		qai1		
ai	𦝨		jai1		
ai	𦫳		guai1		
ai	𦮃		guai1		
ai	𦳦		zai1		
ai	𦸜		zai1		
ai	𧉟		tai1		
ai	𨸜		hai1		
ai	𩑐		chai1		
ai	𩘅		jai1		
ai	𩬠		tai1		
ai	𪃄		sai1		
ai	𪊉		wai1		
ai	𪒴		dai1		
ai	𪘨		zhai1		
ai			zai1		
ai	才		cai2		
ai	呆		ai2		
ai	材		cai2		
ai	㧘		chai2		
ai	抬		tai2		
ai	苔		tai2		
ai	來	来	lai2		
ai	咳		hai2		
ai	孩		hai2		
ai	査		chai2		
ai	炱		tai2		
ai	茈		chai2		
ai	䴭		cai2		
ai	俳		pai2		
ai	埋		mai2		
ai	柴		chai2		
ai	祡		chai2		
ai	能		nai2		
ai	豺		chai2		
ai	財	财	cai2		
ai	郫		pai2		
ai	郲		lai2		
ai	㾍		nai2		
ai	偕		xai2		
ai	唻		lai2		
ai	娾		yai2		
ai	崍	崃	lai2		
ai	庲		lai2		
ai	徠	徕	lai2		
ai	排		pai2		
ai	掜		nai2		
ai	淮		huai2		
ai	淶	涞	lai2		
ai	猈		pai2		
ai	猍		lai2		
ai	菭		tai2		
ai	萊	莱	lai2		
ai	逨		lai2		
ai	剴	剀	ai2		
ai	棑		pai2		
ai	棶		lai2		
ai	湝		xai2		
ai	牌		pai2		
ai	裁		cai2		
ai	跆		tai2		
ai	㨟		hai2		
ai	㾢		lai2		
ai	䅘		lai2		
ai	嵦		ai2		
ai	槐		huai2		
ai	溨		cai2		
ai	瑎		xai2		
ai	豥		hai2		
ai	㱯		ai2		
ai	䋱		lai2		
ai	䍲		nai2		
ai	敳		ai2		
ai	獃	呆	ai2		
ai	臺	台	tai2		
ai	㾹		chai2		
ai	䈚		tai2		
ai	䓳		xai2		
ai	尵		chuai2		
ai	摨		nai2		
ai	犛	牦	lai2		
ai	皚	皑	ai2		
ai	膗		chuai2		
ai	蝔		xai2		
ai	褢		huai2		
ai	誽		nai2		
ai	輫		pai2		
ai	鞋		xai2		
ai	頦	颏	hai2		
ai	駘	骀	tai2		
ai	骸		xai2		
ai	鼒		cai2		
ai	儓		tai2		
ai	儕	侪	chai2		
ai	褱		huai2		
ai	諧	谐	xai2		
ai	㦟		mai2		
ai	䁲		mai2		
ai	䐯		lai2		
ai	䠽		hai2		
ai	嬯		tai2		
ai	擡		tai2		
ai	薶		mai2		
ai	薹		tai2		
ai	檯	台	tai2		
ai	騋		lai2		
ai	㜳		huai2		
ai	㠢		huai2		
ai	䱝		pai2		
ai	懷	怀	huai2		
ai	斄		lai2		
ai	瀤		huai2		
ai	犤		pai2		
ai	鯠		lai2		
ai	鶆		lai2		
ai	麳		lai2		
ai	櫰		huai2		
ai	籉		tai2		
ai	䱺		hai2		
ai	霾		mai2		
ai	纔	才	cai2		
ai	蠯		pai2		
ai	麡		chai2		
ai	龤		xai2		
ai	𡺵		chai2		
ai	𣮉		lai2		
ai	𤜄		huai2		
ai	𤦃		lai2		
ai	𤲓		lai2		
ai	𥱼		pai2		
ai	𦬁		cai2		
ai	𧞷		huai2		
ai	𧳟		lai2		
ai	𧻲		hai2		
ai	𨌅		chai2		
ai	𨻭		ai2		
ai	𩂢		yai2		
ai	𩍃		mai2		
ai	𩑢		pai2		
ai	𩓬		chuai2		
ai	𩤠		xai2		
ai	𩿡		tai2		
ai	𪊉		huai2		
ai	𪎂		lai2		
ai	𪑚		lai2		
ai	𪒴		tai2		
ai	𪗶		chai2		
ai	乃		nai3		
ai	大		dai4		
ai	丐		gai4		
ai	丯		jai4		
ai	介		jai4		
ai	太		tai4		
ai	夬		guai4		
ai	歹		dai3		
ai	㐲		dai4		
ai	代		dai4		
ai	匃		gai4		
ai	奶		nai3		
ai	扒		bai4		
ai	艾		ai4		
ai	亥		hai4		
ai	价		jai4		
ai	再		zai4		
ai	在		zai4		
ai	忕		dai4		
ai	忕		tai4		
ai	汏		dai4		
ai	汛		shai4		
ai	㝏		jai4		
ai	㠹		jai4		
ai	㤅		ai4		
ai	㧉		gai4		
ai	佅		mai4		
ai	呃		yai4		
ai	夆		hai4		
ai	妎		hai4		
ai	尬		jai4		
ai	庍		bai4		
ai	快		kuai4		
ai	戒		jai4		
ai	改		gai3		
ai	杈		chai4		
ai	毐		ai3		
ai	汰		tai4		
ai	芥		jai4		
ai	豸		zhai4		
