韻	字	簡化字	推導音	校正音	罕用標記	註
an	三		san1			
an	千		cian1			
an	山		shan1			
an	川		chuan1			
an	干		gan1			
an	彡		shan1			
an	彡		sian1			
an	厃		zhan1			
an	反		fan1			
an	天		tian1			
an	毌	毋	guan1			
an	丹		dan1			
an	㢟		chan1			
an	仙		sian1			
an	仟		cian1			
an	刊		kan1			
an	占		zhan1			
an	屳		xan1			
an	母		guan1			
an	甘		gan1			
an	邖		shan1			
an	邗		gan1			
an	阡		cian1			
an	䇂		qan1			
an	先		sian1			
an	吅		xuan1			
an	圱		cian1			
an	奸		gan1			
an	奸		jan1			
an	安		an1			
an	尖		zian1			
an	幵	开	jan1			
an	弎		san1			
an	忓		gan1			
an	汗		gan1			
an	汘		cian1			
an	芊		cian1			
an	迀		gan1			
an	迁		cian1			
an	邢		qan1			
an	佔	占	dian1			
an	刪	删	shan1			
an	吞		tian1			
an	囦		yuan1			
an	坍		tan1			
an	妉		dan1			
an	妗		chan1			
an	妗		xan1			
an	岍		qan1			
an	扳		ban1			
an	扳		pan1			
an	杄		cian1			
an	杉		shan1			
an	汧		qan1			
an	犿		huan1			
an	玕		gan1			
an	肝		gan1			
an	芟		shan1			
an	㘱		tan1			
an	㚲		chan1			
an	㠾		yuan1			
an	㪁		kan1			
an	㪁		qan1			
an	㿻		gan1			
an	䀐		shan1			
an	佺		ciuan1			
an	侒		an1			
an	叀		zhuan1			
an	叁		san1			
an	坩		kan1			
an	姍	姗	san1			
an	官		guan1			
an	宛		yuan1			
an	拌		pan1			
an	朌		ban1			
an	杴		xan1			
an	欦		xan1			
an	沾		zhan1			
an	沾		tian1			
an	泔		gan1			
an	玪		jan1			
an	疝		shan1			
an	祆		xan1			
an	秈	籼	sian1			
an	肩		jan1			
an	臤		kan1			
an	臤		qan1			
an	苫		shan1			
an	苮		sian1			
an	苷		gan1			
an	范		fan1			
an	衫		shan1			
an	郉		qan1			
an	冠		guan1			
an	剈		yuan1			
an	埏		shan1			
an	姦	奸	jan1			
an	宣		siuan1			
an	峑		ciuan1			
an	弇		gan1			
an	弮		quan1			
an	怨		yuan1			
an	恮		ciuan1			
an	恮		zhuan1			
an	扁		pian1			
an	拴		ciuan1			
an	挻		shan1			
an	敁		dian1			
an	枮		sian1			
an	柑		gan1			
an	狦		shan1			
an	珊		san1			
an	眅		pan1			
an	眈		dan1			
an	看		kan1			
an	砭		bian1			
an	穿		chuan1			
an	竿		gan1			
an	耑	端	duan1			
an	荃		ciuan1			
an	閂	闩	shuan1			
an	咽		yan1			
an	㘣		xuan1			
an	㟏		han1			
an	㤴		dian1			
an	㸶		yan1			
an	㾆		chan1			
an	䀡		dian1			
an	䇝		zian1			
an	倌		guan1			
an	兼		jan1			
an	冤		yuan1			
an	剜		wan1			
an	唅		han1			
an	娟		yuan1			
an	弲		xuan1			
an	弲		yuan1			
an	悁		yuan1			
an	悛		ciuan1			
an	扇		shan1			
an	旃		zhan1			
an	栓		shuan1			
an	栞		kan1			
an	栴		zhan1			
an	梴		chan1			
an	殷		yan1			
an	涓		juan1			
an	烟		yan1			
an	狻		suan1			
an	班		ban1			
an	疳		gan1			
an	痁		shan1			
an	眢		yuan1			
an	眢		wan1			
an	耽		dan1			
an	胭		yan1			
an	脠		chan1			
an	脠		shan1			
an	般		ban1			
an	莞		guan1			
an	蚈		qan1			
an	訕	讪	shan1			
an	谸		cian1			
an	豻		qan1			
an	軒	轩	xan1			
an	髟		shan1			
an	㞄		an1			
an	㡉		jan1			
an	㤿		yan1			
an	㲔		sian1			
an	䀂		an1			
an	䀬		zhuan1			
an	䇞		gan1			
an	䒦		fan1			
an	乾	干	gan1			
an	偏		pian1			
an	偳		duan1			
an	偳		tuan1			
an	剬		duan1			
an	剶		ziuan1			
an	剶		chuan1			
an	圈		quan1			
an	堅	坚	jan1			
an	婠		wan1			
an	專	专	zhuan1			
an	崦		yan1			
an	帴		zian1			
an	帵		wan1			
an	庵		an1			
an	掀		xan1			
an	掂		dian1			
an	探		tan1			
an	朘		ziuan1			
an	梋		xuan1			
an	涫		guan1			
an	淊		yan1			
an	淦		gan1			
an	淹		yan1			
an	淺	浅	zian1			
an	添		tian1			
an	焆		juan1			
an	焉		yan1			
an	牽	牵	qan1			
an	猏		jan1			
an	痊		ciuan1			
an	痑		tan1			
an	硂		ciuan1			
an	硟		sian1			
an	聃		tan1			
an	舑		tan1			
an	菅		jan1			
an	菴	庵	an1			
an	菴	庵	yan1			
an	菸		yan1			
an	菺		jan1			
an	蚶		han1			
an	訮		xan1			
an	豜		jan1			
an	貪	贪	tan1			
an	貫	贯	guan1			
an	酖	鸩	dan1			
an	飡		can1			
