韻	字	簡化字	推導音	校正音	罕用標記	註
ang	匚		fang1			
ang	尢		wang1			
ang	亢		gang1			
ang	尣		wang1			
ang	方		fang1			
ang	央		yang1			
ang	夯		xang1			
ang	㠵		huang1			
ang	光		guang1			
ang	匡		kuang1			
ang	巟		huang1			
ang	扛		jang1			
ang	江		jang1			
ang	灮		guang1			
ang	邟		kang1			
ang	邡		fang1			
ang	邦		bang1			
ang	㲽		shang1			
ang	佒		ang1			
ang	囪	囱	chuang1			
ang	坊		fang1			
ang	妝	妆	zhuang1			
ang	妨		fang1			
ang	尪		wang1			
ang	忼		hang1			
ang	杠		jang1			
ang	汪		wang1			
ang	汸		fang1			
ang	玒		jang1			
ang	皀		xang1			
ang	羌		qang1			
ang	肓		huang1			
ang	肛		jang1			
ang	肛		xang1			
ang	芳		fang1			
ang	苀		gang1			
ang	迒		gang1			
ang	㰠		hang1			
ang	㹧		ang1			
ang	㽵		zhuang1			
ang	侊		guang1			
ang	劻	匡	kuang1			
ang	咉		ang1			
ang	姎		ang1			
ang	岡	冈	gang1			
ang	戕		zang1			
ang	斨		ciang1			
ang	昌		chang1			
ang	枋		fang1			
ang	泱		yang1			
ang	炕		hang1			
ang	牥		fang1			
ang	牨		gang1			
ang	矼		jang1			
ang	肪		fang1			
ang	肮		ang1			
ang	邼		kuang1			
ang	㡆		huang1			
ang	䄱		fang1			
ang	匨		zang1			
ang	垙		guang1			
ang	垹		bang1			
ang	姜		jang1			
ang	恇		kuang1			
ang	恍		guang1			
ang	桒		sang1			
ang	殃		yang1			
ang	洭		kuang1			
ang	洸		guang1			
ang	洸		wang1			
ang	相		siang1			
ang	缸		gang1			
ang	胦		yang1			
ang	舡		xang1			
ang	茪		guang1			
ang	茳		jang1			
ang	荒		huang1			
ang	衁		huang1			
ang	香		xang1			
ang	䄃		yang1			
ang	䍧		zang1			
ang	䜫		jang1			
ang	倀	伥	chang1			
ang	倉	仓	cang1			
ang	倡		chang1			
ang	剛	刚	gang1			
ang	样		zang1			
ang	桄		guang1			
ang	框		kuang1			
ang	桑		sang1			
ang	梆		bang1			
ang	淓		fang1			
ang	猐		qang1			
ang	畕		jang1			
ang	眏		ang1			
ang	秧		yang1			
ang	笐		gang1			
ang	罡		gang1			
ang	胮		pang1			
ang	胱		guang1			
ang	莊	庄	zhuang1			
ang	蚄		fang1			
ang	豇		jang1			
ang	䀮		huang1			
ang	商		shang1			
ang	啌		xang1			
ang	堈		gang1			
ang	娼		chang1			
ang	將	将	ciang1			
ang	將	将	ziang1			
ang	崆		qang1			
ang	崗	岗	gang1			
ang	康		kang1			
ang	張	张	zhang1			
ang	悾		qang1			
ang	掆		gang1			
ang	控		qang1			
ang	涳		qang1			
ang	猖		chang1			
ang	眶		kuang1			
ang	窓		chuang1			
ang	章		zhang1			
ang	菖		chang1			
ang	趽		fang1			
ang	鄉	乡	xang1			
ang	釭		jang1			
ang	㓻		gang1			
ang	䒰		kuang1			
ang	䖱		kuang1			
ang	傖	伧	cang1			
ang	凔		cang1			
ang	創	创	chuang1			
ang	喪	丧	sang1			
ang	堫		chuang1			
ang	廂	厢	siang1			
ang	椌		qang1			
ang	湘		siang1			
ang	湯	汤	shang1			
ang	湯	汤	tang1			
ang	犅		gang1			
ang	琩		chang1			
ang	窗		chuang1			
ang	筐		kuang1			
ang	腔		qang1			
ang	葙		siang1			
ang	鈁	钫	fang1			
ang	雱		pang1			
ang	㾤		qang1			
ang	䊋		zhuang1			
ang	傷	伤	shang1			
ang	僙		guang1			
ang	嗆	呛	ciang1			
ang	堽		gang1			
ang	搶	抢	ciang1			
ang	滂		pang1			
ang	滄	沧	cang1			
ang	牎		chuang1			
ang	當	当	dang1			
ang	畺		jang1			
ang	禓		shang1			
ang	蒼	苍	cang1			
ang	蜣		qang1			
ang	裝	装	zhuang1			
ang	裮		chang1			
ang	跫		qang1			
ang	軭		kuang1			
ang	輄		guang1			
ang	鄣		zhang1			
ang	鉠		yang1			
ang	障		zhang1			
ang	㝩		kang1			
ang	㼹		kang1			
ang	㼹		qang1			
ang	塲		shang1			
ang	墇		zhang1			
ang	嫜		zhang1			
ang	嶈		ciang1			
ang	彰		zhang1			
ang	慞		zhang1			
ang	慯		shang1			
ang	戧	戗	chuang1			
ang	摐		chuang1			
ang	摪		ziang1			
ang	槍	枪	ciang1			
ang	漮		kang1			
ang	漲	涨	zhang1			
ang	漳		zhang1			
ang	牄		ciang1			
ang	獐		zhang1			
ang	瑲		ciang1			
ang	粻		zhang1			
ang	綱	纲	gang1			
ang	羫		qang1			
ang	臧		zang1			
ang	蔁		zhang1			
ang	蔏		shang1			
ang	蔣	蒋	ziang1			
ang	薌	芗	xang1			
ang	㱂		kang1			
ang	䎫		chuang1			
ang	䯑		kuang1			
ang	僵		jang1			
ang	儅	当	dang1			
ang	憃		chuang1			
ang	暲		zhang1			
ang	槺		kang1			
ang	樁	桩	zhuang1			
ang	樟		zhang1			
ang	殤	殇	shang1			
ang	漿	浆	ziang1			
ang	璋		zhang1			
ang	瘡	疮	chuang1			
ang	磅		pang1			
ang	箱		siang1			
ang	緗	缃	siang1			
ang	膷		xang1			
ang	蝪		tang1			
ang	谾		xang1			
ang	魧		gang1			
ang	鴋		fang1			
ang	䄝		chuang1			
ang	䐠		hang1			
ang	壃		jang1			
ang	橫	横	guang1			
ang	穅		kang1			
ang	篬		ciang1			
ang	縍		bang1			
ang	艙	舱	cang1			
ang	薑	姜	jang1			
ang	薚		tang1			
ang	踼		tang1			
ang	鄺	邝	huang1			
ang	鋼	钢	gang1			
ang	錆	锖	ciang1			
ang	閶	阊	chang1			
ang	霙		yang1			
