韻	字	簡化字	推導音	校正音	罕用標記	註
en	分		fen1			
en	旡		zhen1			
en	申		shen1			
en	阠		shen1			
en	屾		shen1			
en	扟		shen1			
en	㘰		zhen1			
en	㞣		fen1			
en	伸		shen1			
en	吩		fen1			
en	扮		fen1			
en	芬		fen1			
en	身		shen1			
en	侁		shen1			
en	呻		shen1			
en	坫		zhen1			
en	奔		ben1			
en	氛		fen1			
en	㑗		shen1			
en	䑣		chen1			
en	侲		zhen1			
en	姺		shen1			
en	枮		zhen1			
en	柛		shen1			
en	珍		zhen1			
en	砏		fen1			
en	穼		shen1			
en	籸		shen1			
en	胂		chen1			
en	胂		shen1			
en	衯		fen1			
en	㖘		zhen1			
en	唇		zhen1			
en	娠		shen1			
en	帪		zhen1			
en	恩		en1			
en	振		zhen1			
en	根		gen1			
en	珢		gen1			
en	甡		shen1			
en	畛		zhen1			
en	眒		shen1			
en	眞		zhen1			
en	真		zhen1			
en	砧		zhen1			
en	紛	纷	fen1			
en	莘		shen1			
en	郴		chen1			
en	針	针	zhen1			
en	㲀		zhen1			
en	桭		zhen1			
en	梫		chen1			
en	棻		fen1			
en	深		shen1			
en	紳	绅	shen1			
en	參	参	chen1			
en	參	参	shen1			
en	㾕		shen1			
en	兟		shen1			
en	森		shen1			
en	棽		chen1			
en	棽		shen1			
en	犇		ben1			
en	琛		chen1			
en	葴		zhen1			
en	訷		shen1			
en	賁	贲	ben1			
en	雰		fen1			
en	嗔		chen1			
en	塡		zhen1			
en	搸		zhen1			
en	斟		zhen1			
en	椹		zhen1			
en	溱		zhen1			
en	瑊		zhen1			
en	甄		zhen1			
en	蒖		zhen1			
en	蓁		zhen1			
en	詵	诜	shen1			
en	跟		gen1			
en	䰠		shen1			
en	嵾		chen1			
en	榛		zhen1			
en	煾		en1			
en	碪	砧	zhen1			
en	禛		zhen1			
en	綝		chen1			
en	蔘		shen1			
en	噴	喷	pen1			
en	撍		zhen1			
en	槮		chen1			
en	槮		shen1			
en	潧		zhen1			
en	濆		pen1			
en	瞋		chen1			
en	磌		zhen1			
en	稹		zhen1			
en	箴		zhen1			
en	賝		chen1			
en	㜪		shen1			
en	㯜		shen1			
en	䐜		chen1			
en	樼		zhen1			
en	歕		pen1			
en	燊		shen1			
en	縝	缜	chen1			
en	臻		zhen1			
en	薓		shen1			
en	薽		zhen1			
en	錀		fen1			
en	錛	锛	ben1			
en	餴		fen1			
en	駪		shen1			
