韻	字	簡化字	推導音	校正音	罕用標記	註
o	屮		cheo1			
o	丐		geo1			
o	匃		geo1			
o	屵		eo1			
o	歺		eo1			
o	各		geo1			
o	合		geo1			
o	㠷		geo1			
o	折		zheo1			
o	耴		zheo1			
o	阿		eo1			
o	車	车	cheo1			
o	㚲		cheo1			
o	㤎		geo1			
o	佮		eo1			
o	佮		geo1			
o	匌		geo1			
o	匌		keo1			
o	呵		heo1			
o	妸		eo1			
o	妿		eo1			
o	妿		geo1			
o	戕		geo1			
o	抲		heo1			
o	砐		eo1			
o	苶		rheo1			
o	郃		geo1			
o	㤩		keo1			
o	㧁		geo1			
o	㧁		keo1			
o	㱒		heo1			
o	㽺		heo1			
o	咢		eo1			
o	咹		eo1			
o	哈		eo1			
o	姶		eo1			
o	恪		keo1			
o	枿		eo1			
o	柯		geo1			
o	牁		geo1			
o	珂		keo1			
o	郝		heo1			
o	㡇		zheo1			
o	㤴		cheo1			
o	㪉		geo1			
o	㭘		geo1			
o	䑥		eo1			
o	哥		geo1			
o	哲		zheo1			
o	唈		eo1			
o	啊		eo1			
o	娿		eo1			
o	婀		eo1			
o	屙		eo1			
o	格		geo1			
o	欱		heo1			
o	浙		zheo1			
o	浩		geo1			
o	爹		zheo1			
o	疴		eo1			
o	砝		geo1			
o	胳		geo1			
o	胺		eo1			
o	㭯		zheo1			
o	㳧		cheo1			
o	㾑		eo1			
o	㾑		heo1			
o	䆟		keo1			
o	偔		eo1			
o	堊	垩	eo1			
o	奢		sheo1			
o	庵		eo1			
o	悊		zheo1			
o	晢	晰	zheo1			
o	晣		zheo1			
o	聅		cheo1			
o	菏		geo1			
o	萐		sheo1			
o	袼		geo1			
o	設	设	sheo1			
o	鄂		eo1			
o	㔩		eo1			
o	㕎		keo1			
o	㗁		eo1			
o	䀿		zheo1			
o	割		geo1			
o	喆		zheo1			
o	喝		heo1			
o	喢		cheo1			
o	喢		sheo1			
o	喦		rheo1			
o	堨		eo1			
o	堮		eo1			
o	媕		eo1			
o	崿		eo1			
o	嵑		keo1			
o	弽		sheo1			
o	愕		eo1			
o	掣		cheo1			
o	渴		keo1			
o	湂		eo1			
o	猲		heo1			
o	畲		sheo1			
o	痾	疴	eo1			
o	硨	砗	cheo1			
o	硩		cheo1			
o	萼		eo1			
o	葛		geo1			
o	蛤		geo1			
o	訶	诃	heo1			
o	詀		cheo1			
o	軻	轲	keo1			
o	遌		eo1			
o	遏		eo1			
o	鄗		heo1			
o	頇	顸	eo1			
o	葉	叶	sheo1			
o	惡	恶	eo1			
o	㮙		eo1			
o	㰼		sheo1			
o	㸙		zheo1			
o	䏳		zheo1			
o	嗃		heo1			
o	嗑		geo1			
o	廅		eo1			
o	愙		keo1			
o	搕		eo1			
o	摋		sheo1			
o	暍		heo1			
o	歁		keo1			
o	歃		sheo1			
o	溘		keo1			
o	滒		geo1			
o	煠		cheo1			
o	罨		eo1			
o	蓋	盖	geo1			
o	蜇		zheo1			
o	鈳	钶	eo1			
o	鉀	钾	geo1			
o	閘	闸	geo1			
o	㕡		heo1			
o	㬎		eo1			
o	㿣		heo1			
o	䅥		keo1			
o	䋪		eo1			
o	䯊		keo1			
o	慴		zheo1			
o	摺		zheo1			
o	榼		keo1			
o	歌		geo1			
o	熇		heo1			
o	箑		sheo1			
o	罯		eo1			
o	蔎		sheo1			
o	蝁		eo1			
o	賒	赊	sheo1			
o	輒	辄	zheo1			
o	遮		zheo1			
o	鉿	铪	geo1			
o	锸		cheo1			
o	閣	阁	geo1			
o	閤	合	geo1			
o	靼		zheo1			
o	魥		eo1			
o	䈎		cheo1			
o	䈓		geo1			
o	䧪		cheo1			
o	徹	彻	cheo1			
o	慹		zheo1			
o	撤		cheo1			
o	熱	热	rheo1			
o	獦		geo1			
o	瘛		cheo1			
o	瞌		keo1			
o	磕		keo1			
o	霅		zheo1			
o	鞈		geo1			
o	韐		geo1			
o	頜	颌	geo1			
o	頞		eo1			
o	骹		keo1			
o	㔍		cheo1			
o	䗘		geo1			
o	䚢		cheo1			
o	䩢		zheo1			
o	儑		eo1			
o	噩		eo1			
o	嶭		eo1			
o	歙		sheo1			
o	盦		eo1			
o	諤	谔	eo1			
o	輵		geo1			
o	閼	阏	eo1			
o	霎		sheo1			
o	鴚		geo1			
o	諸	诸	zheo1			
o	㵣		keo1			
o	㵧		geo1			
o	壑		heo1			
o	擱	搁	geo1			
o	謌		geo1			
o	謞		heo1			
o	鍔	锷	eo1			
o	餲		eo1			
o	鮯		geo1			
o	鴿	鸽	geo1			
o	䒆		cheo1			
o	䜆		zheo1			
o	䫘		heo1			
o	䳚		keo1			
o	嚞		zheo1			
o	礏		eo1			
o	謵		cheo1			
o	謺		zheo1			
o	鞥		eo1			
o	韘		sheo1			
o	顎	颚	eo1			
