韻	字	簡化字	推導音	校正音	罕用標記	註
ung	工		gung1			
ung	中		zhung1			
ung	公		gung1			
ung	㓚		gung1			
ung	冬		dung1			
ung	功		gung1			
ung	匆		cung1			
ung	伀		zhung1			
ung	充		chung1			
ung	叿		hung1			
ung	㕬		zhung1			
ung	妐		zhung1			
ung	彸		zhung1			
ung	忡		chung1			
ung	忪		sung1			
ung	忪		zhung1			
ung	攻		gung1			
ung	玒		gung1			
ung	侊		gung1			
ung	侗		tung1			
ung	宖		wung1			
ung	宗		zung1			
ung	忠		zhung1			
ung	忩		cung1			
ung	東	东	dung1			
ung	泈		zhung1			
ung	泓		wung1			
ung	炂		zhung1			
ung	疘		gung1			
ung	空		kung1			
ung	肱		gung1			
ung	苳		dung1			
ung	㚇		zung1			
ung	㤝		chung1			
ung	俑		tung1			
ung	怱		cung1			
ung	恫		tung1			
ung	柊		zhung1			
ung	炵		tung1			
ung	盅		chung1			
ung	茺		chung1			
ung	衳		zhung1			
ung	訇		hung1			
ung	㳘		chung1			
ung	䇗		zhung1			
ung	䍔		gung1			
ung	倥		kung1			
ung	倧		zung1			
ung	倲		dung1			
ung	凍	冻	dung1			
ung	浺		chung1			
ung	烘		hung1			
ung	珫		chung1			
ung	翁		wung1			
ung	蚣		gung1			
ung	蚣		zhung1			
ung	衷		zhung1			
ung	通		tung1			
ung	埪		kung1			
ung	埬		dung1			
ung	崆		kung1			
ung	崠	岽	dung1			
ung	悾		kung1			
ung	涳		kung1			
ung	涷		dung1			
ung	痌		tung1			
ung	眾	众	zhung1			
ung	笗		dung1			
ung	終	终	zhung1			
ung	舂		shung1			
ung	菄		dung1			
ung	釭		gung1			
ung	㣭		zung1			
ung	䘪		chung1			
ung	喤		hung1			
ung	堫		zung1			
ung	嵕		zung1			
ung	揈		hung1			
ung	棕		zung1			
ung	椌		kung1			
ung	渹		hung1			
ung	猣		zung1			
ung	葱		cung1			
ung	葼		zung1			
ung	衆		zhung1			
ung	鈆		zhung1			
ung	㷓		cung1			
ung	䅝		kung1			
ung	傭	佣	chung1			
ung	愩		gung1			
ung	椶		zung1			
ung	硿		kung1			
ung	蓊		wung1			
ung	蓪		tung1			
ung	觥		gung1			
ung	㮬		wung1			
ung	䍶		dung1			
ung	䯳		sung1			
ung	嵸		zung1			
ung	摏		shung1			
ung	稯		zung1			
ung	箜		kung1			
ung	蔠		zhung1			
ung	蔥	葱	cung1			
ung	蝀		dung1			
ung	褈		chung1			
ung	魟		gung1			
ung	魟		hung1			
ung	䗓		cung1			
ung	憃		shung1			
ung	憧		chung1			
ung	憽		sung1			
ung	樬		cung1			
ung	潨		zhung1			
ung	潼		chung1			
ung	熜		cung1			
ung	璁		cung1			
ung	碽		gung1			
ung	緵		zung1			
ung	翪		zung1			
ung	聦		cung1			
ung	艐		zung1			
ung	蝬		zung1			
ung	衝	冲	chung1			
ung	谾		hung1			
ung	䈵		wung1			
ung	䎕		hung1			
ung	䳉		dung1			
ung	曈		tung1			
ung	橦	幢	zhung1			
ung	檧		sung1			
ung	篢		gung1			
ung	薨		hung1			
ung	螉		wung1			
ung	諻		hung1			
ung	輷		hung1			
ung	鴤		zhung1			
ung	䂌		chung1			
ung	䈺		zhung1			
ung	䗥		zung1			
ung	䰤		dung1			
ung	嚝		hung1			
ung	罿		chung1			
ung	聰	聪	cung1			
ung	螽		zhung1			
ung	蟌		cung1			
ung	謍		hung1			
ung	謍		wung1			
ung	鍧		hung1			
ung	鍯		cung1			
ung	鍾	钟	zhung1			
ung	䡯		cung1			
ung	艟		chung1			
ung	觵		gung1			
ung	豵		zung1			
ung	蹖		shung1			
ung	鬃		zung1			
ung	鬆	松	sung1			
ung	鼨		zhung1			
ung	䝑		chung1			
ung	䝦		zhung1			
ung	䡴		chung1			
ung	䩺		wung1			
ung	蹱		chung1			
ung	蹱		zhung1			
ung	鏓		cung1			
ung	騘		cung1			
ung	騣	鬃	zung1			
ung	鬉		zung1			
ung	鬷		zung1			
ung	鯟		dung1			
ung	鵼		kung1			
ung	鶇	鸫	dung1			
ung	鐘	钟	zhung1			
ung	鯼		zung1			
ung	䱵		wung1			
ung	䶱		zhung1			
ung	轟	轰	hung1			
ung	驄	骢	cung1			
ung	籦		zhung1			
ung	𠍀		dung1			
ung	𠐿		hung1			
ung	𠔙		dung1			
ung	𠝤		chung1			
ung	𠟍		chung1			
ung	𢃐		kung1			
ung	𢉛		cung1			
ung	𢊕		cung1			
ung	𢔅		dung1			
ung	𢘐		dung1			
ung	𢝁		hung1			
ung	𣘯		gung1			
ung	𣧩		zhung1			
ung	𤃫		hung1			
ung	𤧚		cung1			
ung	𥓻		zung1			
ung	𥕗		hung1			
ung	𦇎		cung1			
ung	𦑟		hung1			
ung	𦟛		chung1			
ung	𦬕		zhung1			
ung	𦬘		zhung1			
ung	𦱇		kung1			
ung	𧌆		kung1			
ung	𧐍		shung1			
ung	𧑄		zhung1			
ung	𧓕		dung1			
ung	𧘂		chung1			
ung	𧢸		zhung1			
ung	𧲴		dung1			
ung	𧳆		tung1			
ung	𨀜		tung1			
ung	𨍉		cung1			
ung	𨙦		chung1			
ung	𨣭		cung1			
ung	𨣼		cung1			
ung	𨤩		chung1			
ung	𨳗		zhung1			
ung	𨳮		wung1			
ung	𩂓		dung1			
ung	𩃙		gung1			
ung	𩅧		zhung1			
ung	𩉦		gung1			
ung	𩐠		hung1			
ung	𩔚		wung1			
ung	𩖉		hung1			
ung	𩗄		hung1			
ung	𩙛		hung1			
ung	𩜍		dung1			
ung	𩮀		zung1			
ung	𪄻		shung1			
ung	𪎽		chung1			
ung	𪒒		chung1			
ung	仜		hung2			
ung	仝		tung2			
ung	弘		hung2			
ung	同		tung2			
ung	屸		lung2			
ung	戎		rhung2			
ung	佟		tung2			
ung	吰		hung2			
ung	宏		hung2			
ung	彤		tung2			
ung	沖	冲	chung2			
ung	㠽		tung2			
ung	㤏		tung2			
ung	䧆		hung2			
ung	侗		tung2			
ung	宖		hung2			
ung	苰		hung2			
ung	㟅		lung2			
ung	㟅		wung2			
ung	䉺		hung2			
ung	哃		tung2			
ung	峒		tung2			
ung	挏		tung2			
ung	洚		hung2			
ung	洪		hung2			
ung	炵		tung2			
ung	狨		rhung2			
ung	盅		chung2			
ung	种		chung2			
ung	竑		hung2			
ung	紅	红	hung2			
ung	茙		rhung2			
ung	茸		rhung2			
ung	虹		hung2			
ung	重		chung2			
ung	洞		tung2			
ung	㭜		rhung2			
ung	桐		tung2			
ung	浤		hung2			
ung	浵		tung2			
ung	烔		tung2			
ung	烘		hung2			
ung	疼		tung2			
ung	紘		hung2			
ung	翀		chung2			
ung	翃		hung2			
ung	耾		hung2			
ung	訌	讧	hung2			
ung	㼧		tung2			
ung	䂈		tung2			
ung	䂫		hung2			
ung	䆚		tung2			
ung	孮		cung2			
ung	崇		chung2			
ung	崈		chung2			
ung	悰		cung2			
ung	淙		cung2			
ung	痋		tung2			
ung	眮		tung2			
ung	硐		tung2			
ung	紭		hung2			
ung	䇯		rhung2			
ung	䪦		hung2			
ung	䫹		hung2			
ung	喤		hung2			
ung	搑		rhung2			
ung	渱		hung2			
ung	琮		cung2			
ung	童		tung2			
ung	筒		tung2			
ung	絧		tung2			
ung	絨	绒	rhung2			
ung	葒	荭	hung2			
ung	葓		hung2			
ung	衕		tung2			
ung	鈜		hung2			
ung	閎	闳	hung2			
ung	㓽		chung2			
ung	嵤		hung2			
ung	榵		rhung2			
ung	瑝		hung2			
ung	筩		tung2			
ung	谼		hung2			
ung	赨		tung2			
ung	農	农	nung2			
ung	酮		tung2			
ung	鉖		tung2			
ung	㗢		hung2			
ung	䄓		hung2			
ung	僮		tung2			
ung	慒		cung2			
ung	慵		chung2			
ung	潢		hung2			
ung	穁		rhung2			
ung	褈		chung2			
ung	鉵		tung2			
ung	鉷		hung2			
ung	銅	铜	tung2			
ung	鞃		hung2			
ung	魟		hung2			
ung	㼻		cung2			
ung	䃔		hung2			
ung	儂	侬	nung2			
ung	潨		cung2			
ung	潼		tung2			
ung	緟		chung2			
ung	蕫		tung2			
ung	蝗		hung2			
ung	蝩		chung2			
ung	誴		cung2			
ung	賨		cung2			
ung	辳		nung2			
ung	㺜		nung2			
ung	㼿		tung2			
ung	噥	哝	nung2			
ung	彋		hung2			
ung	憹		nung2			
ung	曈		tung2			
ung	橦	幢	tung2			
ung	橫	横	hung2			
ung	犝		tung2			
ung	駥		rhung2			
ung	髶		rhung2			
ung	䃧		lung2			
ung	䳋		tung2			
ung	嶸	嵘	hung2			
ung	瞳		tung2			
ung	穜		chung2			
ung	穜		tung2			
ung	罿		tung2			
ung	膿	脓	nung2			
ung	藂		cung2			
ung	鍠		hung2			
ung	鮦		tung2			
ung	鴻	鸿	hung2			
ung	叢	丛	cung2			
ung	穠		rhung2			
ung	蟲	虫	chung2			
ung	襛		rhung2			
ung	韹		hung2			
ung	鬃		cung2			
ung	鼕	冬	tung2			
ung	䩸		rhung2			
ung	嚨	咙	lung2			
ung	巃		lung2			
ung	瀧	泷	lung2			
ung	蘢	茏	lung2			
ung	鐄		hung2			
ung	㰍		lung2			
ung	㶇		hung2			
ung	䢉		nung2			
ung	䳯		chung2			
ung	曨		lung2			
ung	朧	胧	lung2			
ung	櫳	栊	lung2			
ung	瓏	珑	lung2			
ung	䆍		lung2			
ung	䥢		lung2			
ung	䬝		hung2			
ung	䶱		tung2			
ung	礱	砻	lung2			
ung	襱		lung2			
ung	爞		chung2			
ung	爞		tung2			
ung	蠪		lung2			
ung	鱅		chung2			
ung	龓		lung2			
ung	籠	笼	lung2			
ung	聾	聋	lung2			
ung	䴀		tung2			
ung	豅		lung2			
ung	䕺		cung2			
ung	黌	黉	hung2			
ung	䪊		lung2			
ung	鸗		lung2			
ung	𠈋		rhung2			
ung	𠩁		tung2			
ung	𡃡		lung2			
ung	𢃏		cung2			
ung	𢈉		tung2			
ung	𢏕		tung2			
