韻	字	簡化字	推導音	校正音	罕用標記	註
y	入		rhy1			
y	厶		sy1			
y	之		zhy1			
y	尸		shy1			
y	彳		chy1			
y	㞢		zhy1			
y	尺		chy1			
y	廿		rhy1			
y	支		zhy1			
y	日		rhy1			
y	氏		zhy1			
y	仔		zy1			
y	卮		zhy1			
y	只		zhy1			
y	叱		chy1			
y	司		sy1			
y	失		shy1			
y	斥		chy1			
y	氐		zhy1			
y	汁		zhy1			
y	㠴		rhy1			
y	孖		zy1			
y	式		shy1			
y	芝		zhy1			
y	㚒		shy1			
y	㺨		sy1			
y	伺		sy1			
y	妛		chy1			
y	孜		zy1			
y	巵		zhy1			
y	汥		zhy1			
y	汦		zhy1			
y	私		sy1			
y	赤		chy1			
y	㚖		chy1			
y	㠿		zy1			
y	㲍		zhy1			
y	侄		zhy1			
y	侙		chy1			
y	抶		chy1			
y	枝		zhy1			
y	甾		zhy1			
y	知		zhy1			
y	肢		zhy1			
y	邿		shy1			
y	郅		zhy1			
y	炙		zhy1			
y	拓		zhy1			
y	㡿		chy1			
y	㰣		zy1			
y	㽚		chy1			
y	㽻		zhy1			
y	䊷		zhy1			
y	兹		zy1			
y	冟		shy1			
y	勅		chy1			
y	咥		chy1			
y	咨		zy1			
y	姕		cy1			
y	姕		zy1			
y	姿		zy1			
y	室		shy1			
y	屍	尸	shy1			
y	差		chy1			
y	庢		zhy1			
y	思		sy1			
y	恜		chy1			
y	拭		shy1			
y	挃		zhy1			
y	施		shy1			
y	柵	栅	chy1			
y	祗		zhy1			
y	胑		zhy1			
y	胝		zhy1			
y	茬		zhy1			
y	茲	兹	zy1			
y	衵		rhy1			
y	衹	只	zhy1			
y	衼		zhy1			
y	郗		chy1			
y	郝		chy1			
y	郝		shy1			
y	陟		zhy1			
y	㩼		zhy1			
y	㲳		zhy1			
y	䀢		shy1			
y	厜		zy1			
y	哧		shy1			
y	師	师	shy1			
y	恖		sy1			
y	晊		zhy1			
y	栺		zhy1			
y	栻		chy1			
y	桎		zhy1			
y	烒		shy1			
y	疻		zhy1			
y	眣		chy1			
y	砥		zhy1			
y	离		chy1			
y	秪		zhy1			
y	胵		chy1			
y	脂		zhy1			
y	荲		chy1			
y	虒		sy1			
y	蚇		chy1			
y	蚩		chy1			
y	郪		cy1			
y	隻	只	zhy1			
y	索		shy1			
y	㭰		zy1			
y	䖪		zy1			
y	䞠		zhy1			
y	䡋		zhy1			
y	偲		sy1			
y	執	执	zhy1			
y	悤		sy1			
y	敕		chy1			
y	梔	栀	zhy1			
y	淄		zhy1			
y	淔		chy1			
y	烾		chy1			
y	瓻		chy1			
y	眵		chy1			
y	眵		zhy1			
y	秷		zhy1			
y	窒		zhy1			
y	笞		chy1			
y	絁		shy1			
y	脪		chy1			
y	菑		zhy1			
y	菥		sy1			
y	䀵		shy1			
y	䙾		shy1			
y	䧴		zhy1			
y	傂		sy1			
y	嗞		zy1			
y	媊		zy1			
y	孳		zy1			
y	嵫		zy1			
y	嵯		chy1			
y	惢		zy1			
y	戠		zhy1			
y	斯		sy1			
y	晹		shy1			
y	椔		zhy1			
y	湁		chy1			
y	湽		zhy1			
y	滋		zy1			
y	粢		zy1			
y	絲	丝	sy1			
y	胔		cy1			
y	臸		rhy1			
y	臸		zhy1			
y	葘		zhy1			
y	葹		shy1			
y	蒫		zy1			
y	蛭		zhy1			
y	覗		sy1			
y	訵		chy1			
y	趀		cy1			
y	跖		zhy1			
y	鄑		zy1			
y	飭	饬	chy1			
y	㺇		sy1			
y	䂹		shy1			
y	嗤		chy1			
y	媸		chy1			
y	摛		chy1			
y	斟		chy1			
y	楒		sy1			
y	溹		shy1			
y	溼	湿	shy1			
y	獅	狮	shy1			
y	瓡		zhy1			
y	痴		chy1			
y	睗		shy1			
y	禔		zhy1			
y	禗		sy1			
y	稙		zhy1			
y	絺		chy1			
y	蒒		shy1			
y	蓍		shy1			
y	觜		zy1			
y	訾		zy1			
y	詩	诗	shy1			
y	貲	赀	zy1			
y	資	资	zy1			
y	趑		cy1			
y	跮		chy1			
y	軾	轼	shy1			
y	鉈	铊	shy1			
y	雴		chy1			
y	飾	饰	shy1			
y	㒋		sy1			
y	㗧		zhy1			
y	㴯		zhy1			
y	㴲		sy1			
y	䎩		zhy1			
y	䐈		zhy1			
y	䓜		zhy1			
y	䘸		zhy1			
y	凘		sy1			
y	墌		zhy1			
y	嫢		zy1			
y	摭		zhy1			
y	榰		zhy1			
y	榹		sy1			
y	滷	卤	chy1			
y	禠		sy1			
y	稵		zy1			
y	緇	缁	zhy1			
y	罳		sy1			
y	蜘		zhy1			
y	蜤		sy1			
y	適	适	shy1			
y	適	适	zhy1			
y	遫		chy1			
y	鈭		cy1			
y	鈭		zy1			
y	鉽		shy1			
y	銍		zhy1			
y	雌		cy1			
y	馶		zhy1			
y	馹		rhy1			
y	鳲		shy1			
y	㯄		zhy1			
y	㷰		chy1			
y	㾷		sy1			
y	䗐		shy1			
y	䜺		chy1			
y	䝷		zhy1			
y	䣎		zhy1			
y	䣽		zhy1			
y	奭		shy1			
y	廝	厮	sy1			
y	慗		chy1			
y	慹		zhy1			
y	漐		chy1			
y	磃		sy1			
y	緦	缌	sy1			
y	縒		chy1			
y	蕬		sy1			
y	誺		chy1			
y	質	质	zhy1			
y	輜	辎	chy1			
y	輜	辎	zhy1			
