序號	目次	聲	shengOrder	等	toenkOrder	呼	xuOrder	韻部	hiunnOrder	調	dewOrder	攝	shapOrder	反切	平水韻目	古韻羅馬字	有女羅馬字	推導拼音	小韻字數	字	備註	validation
1	上平1東	端	B1	一	1	開	1	東	上01	平	1	通	16	德紅	東	tung	tung	dong1	17	東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤		TRUE
2	上平1東	定	B3	一	1	開	1	東	上01	平	1	通	16	徒紅	東	dung	dung	tong2	45	同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨝯𨚯𪔝𩦶𪒿		TRUE
3	上平1東	知	CB1	三	3	開	1	東	上01	平	1	通	16	陟弓	東	triung	tiung	zhong1	4	中衷忠𦬕		TRUE
4	上平1東	澄	CB3	三	3	開	1	東	上01	平	1	通	16	直弓	東	driung	diung	chong2	7	蟲沖种盅爞𦬕翀		TRUE
5	上平1東	章	CD1	三	3	開	1	東	上01	平	1	通	16	職戎	東	cjung	tjung	zhong1	15	終衆(眾)潨𣧩𧑄𩅧䝦䶱䈺螽鼨蔠柊鴤泈		TRUE
6	上平1東	徹	CB2	三	3	開	1	東	上01	平	1	通	16	敕中	東	thriung	thiung	chong1	3	忡浺盅		TRUE
7	上平1東	崇	CC3	三	3	開	1	東	上01	平	1	通	16	鋤弓	東	zriung	drung	chong2	4	崇崈㓽𩞉		TRUE
8	上平1東	心	CA4	三	3	開	1	東	上01	平	1	通	16	息弓	東	siung	siung	song1	9	嵩崧娀菘硹𪀚㣝𧊕𨱿		TRUE
9	上平1東	日	CD6	三	3	開	1	東	上01	平	1	通	16	如融	東	njung	rung	rong2	9	戎𢦦㭜𥬪𠈋茙駥狨絨		TRUE
10	上平1東	見	D1	三	3	開	1	東	上01	平	1	通	16	居戎	東	kiung	kiung	jiong1	6	弓躳躬㴦宮匑		TRUE
11	上平1東	以	E5	三	3	開	1	東	上01	平	1	通	16	以戎	東	jung	jung	yong2	3	融肜瀜		TRUE
12	上平1東	云	E4	三	3	開	1	東	上01	平	1	通	16	羽弓	東	iung	hiung	yong2	2	雄熊		TRUE
13	上平1東	明	A4	三	3	開	1	東	上01	平	1	通	16	莫中	東	miung	miung	meng2	6	瞢夢懜𨞯𦫰𧲎		TRUE
14	上平1東	溪	D2	三	3	開	1	東	上01	平	1	通	16	去宮	東	khiung	qiung	qiong1	7	穹𢞏𦵡𥳎焪芎匑		TRUE
15	上平1東	群	D3	三	3	開	1	東	上01	平	1	通	16	渠弓	東	giung	giung	qiong2	3	窮藭𥨪		TRUE
16	上平1東	並	A3	三	3	開	1	東	上01	平	1	通	16	房戎	東	biung	biung	feng2	7	馮堸汎芃𨝭渢梵		TRUE
17	上平1東	幫	A1	三	3	開	1	東	上01	平	1	通	16	方戎	東	piung	piung	feng1	7	風飌楓猦偑檒𧆉|瘋|		TRUE
18	上平1東	滂	A2	三	3	開	1	東	上01	平	1	通	16	敷空	東	phiung	phiung	feng1	8	豐酆蘴灃寷麷㒥𡾿		TRUE
19	上平1東	昌	CD2	三	3	開	1	東	上01	平	1	通	16	昌終	東	chjung	tcung	chong1	7	充珫茺㤝䘪𪎽㳘		TRUE
20	上平1東	來	B5	三	3	開	1	東	上01	平	1	通	16	力中	東	liung	liung	long2	6	隆癃𪔳㚅窿霳		TRUE
21	上平1東	溪	D2	一	1	開	1	東	上01	平	1	通	16	苦紅	東	khung	qung	kong1	14	空箜崆椌硿悾埪倥涳鵼䅝𦱇𢃐𧌆		TRUE
22	上平1東	見	D1	一	1	開	1	東	上01	平	1	通	16	古紅	東	kung	kung	gong1	13	公功工疘蚣玒㓚釭魟攻愩碽篢		TRUE
23	上平1東	明	A4	一	1	開	1	東	上01	平	1	通	16	莫紅	東	mung	mung	meng2	26	蒙冡濛𩦺䰒艨朦矇饛檬𨢊䴿𢄐𨣘鸏幪罞髳蠓𦿏雺霿霧䀄懜霥[礞]		TRUE
24	上平1東	來	B5	一	1	開	1	東	上01	平	1	通	16	盧紅	東	lung	lung	long2	27	籠豅㰍朧𡃡龓䪊瀧聾𨏠䆍礱𪚗嚨蘢櫳𤮨巃襱𧙥瓏曨蠪鸗𩟭㟅屸		TRUE
25	上平1東	匣	E2	一	1	開	1	東	上01	平	1	通	16	戸公	東	ghung	hung	hong2	22	紅!洪鉷訌虹仜鴻葒葓谼䉺䪦𦏼䫹𨾊烘洚渱𨹁䧆魟䂫		TRUE
26	上平1東	從	CA3	一	1	開	1	東	上01	平	1	通	16	徂紅	東	zung	dzung	cong2	5	叢藂䕺潨𥵫		TRUE
27	上平1東	影	E3	一	1	開	1	東	上01	平	1	通	16	烏紅	東	qung	ung	weng1	8	翁螉䱵蓊䈵䩺㮬𩔚		TRUE
28	上平1東	清	CA2	一	1	開	1	東	上01	平	1	通	16	倉紅	東	chung	cung	cong1	15	怱[匆]忩葱(蔥)聦(聰)騘(驄)樬𨍉(䡯)(𦇎)𤧚(璁)𨣭(𨣼)鍯(鏓)㷓(熜)𢉛(𢊕)䗓(蟌)		TRUE
29	上平1東	透	B2	一	1	開	1	東	上01	平	1	通	16	他紅	東	thung	thung	tong1	9	通蓪侗恫痌曈俑𧳆𨀜		TRUE
30	上平1東	精	CA1	一	1	開	1	東	上01	平	1	通	16	子紅	東	cung	zung	zong1	21	葼嵕艐鬷猣鯼椶(棕)騣(鬃)𥓻翪緵㣭稯堫蝬鬉㚇豵䗥嵸𩮀		TRUE
31	上平1東	並	A3	一	1	開	1	東	上01	平	1	通	16	薄紅	東	bung	bung	peng2	10	蓬𥭗篷髼蜂芃𧚋韸䮾𩖛		TRUE
32	上平1東	曉	E1	一	1	開	1	東	上01	平	1	通	16	呼東	東	hung	xung	hong1	6	烘叿魟谾𩐠𩗄		TRUE
33	上平1東	疑	D4	一	1	開	1	東	上01	平	1	通	16	五東	東	ngung	ngung	weng2	1	㟅		TRUE
34	上平1東	心	CA4	一	1	開	1	東	上01	平	1	通	16	蘇公	東	sung	sung	song1	3	檧憽(忪)		TRUE
35	上平2冬	端	B1	一	1	開	1	冬	上02	平	1	通	16	都宗	冬	tuung	tvng	dong1	7	冬𠔙苳䳉笗𩂓𧲴		TRUE
36	上平2冬	定	B3	一	1	開	1	冬	上02	平	1	通	16	徒冬	冬	duung	dvng	tong2	22	彤疼佟炵䳋鼕𢥞𢾮爞㤏痋䂈鉵𧹝𩦶浵䶱𠩁鉖𨜳㠽赨		TRUE
37	上平2冬	從	CA3	一	1	開	1	冬	上02	平	1	通	16	藏宗	冬	zuung	dzvng	cong2	11	賨琮悰潨淙慒鬃㼻孮誴𢃏		TRUE
38	上平2冬	泥	B4	一	1	開	1	冬	上02	平	1	通	16	奴冬	冬	nuung	nvng	nong2	12	農䢉辳𨑋𩟊噥𩅽憹㺜儂𧗕膿		TRUE
39	上平2冬	見	D1	一	1	開	1	冬	上02	平	1	通	16	古冬	冬	kuung	kvng	gong1	2	攻釭		TRUE
40	上平2冬	匣	E2	一	1	開	1	冬	上02	平	1	通	16	戸冬	冬	ghuung	hvng	hong2	4	䃔洚㗢𩘎		TRUE
41	上平2冬	來	B5	一	1	開	1	冬	上02	平	1	通	16	力冬	冬	luung	lvng	long2	3	䃧䥢𣫣		TRUE
42	上平2冬	精	CA1	一	1	開	1	冬	上02	平	1	通	16	作冬	冬	cuung	zvng	zong1	2	宗倧		TRUE
43	上平2冬	心	CA4	一	1	開	1	冬	上02	平	1	通	16	私宗	冬	suung	svng	song1	2	鬆䯳		TRUE
44	上平2冬	透	B2	一	1	開	1	冬	上02	平	1	通	16	他冬	冬	thuung	thvng	tong1	1	炵		TRUE
45	上平3鍾	章	CD1	三	3	開	1	鍾	上03	平	1	通	16	職容	冬	cjyung	tjvng	zhong1	18	鍾鐘蚣忪䇗蹱彸衳伀橦籦妐㕬𧢸炂𦬘𨳗鈆		TRUE
