aqchiuqxi 阿屈死
acitsaqpe 挨肩擦背
adjioe 阿舅
audjioekhuno 掗求苦腦
aqdoeloq 鴨頭綠
andotzy 櫻桃嘴
aqdexi 壓臺戲
ando 櫻桃
anku 鸚哥
agnian 阿娘
anlianse 盎裏盎三
aphi 阿片
aqlaqreq 阿拉個
aqlaqveqle 阿拉勿來
aulhaveqtseq 掗拉勿出
aulonzeu 搲龍船
aqmhoaqkoe 阿貓阿狗
aqmoqlin 阿木靈
anse 盎三
apoqloqthoq 矮北落托
apeqlenten 矮不倫敦
aqbu 阿婆
abu 阿婆
aqde 鴨蛋
aqdi 阿弟
aqdjioe 阿舅
aqdoe 押頭
aqfi 阿飛
aqgan 阿戇
aqkon 阿公
aqku 阿哥
aqlaq 阿拉
aqme 阿妹
aqmeq 壓末
aqna 阿奶
aqnheu 阿囡
aqpan 鴨膀
aqpaq 阿爸
aqso 阿嫂
aqcia 阿姐
aqyi 阿姨
aqzan 壓場
aqzeq 阿侄
aqseudi 壓歲鈿
auxikhon 掗死空
aqsytsoe 鴨屎臭
autsaudoe 丫叉頭
autsaudoe 掗杈頭
aten 矮凳
aqtialhagnian 阿爹拉娘
aqthusan 阿土生
atzy 矮子
audo 搲稻
aukhon 搲空
autsau 椏杈
autsau 丫叉
autzy 啞嘴
autzy 啞子
auion 堊壅
aveq 挨勿
aqveqsaq 壓勿殺
aqwutzy 阿鬍子
aya 阿爺
ayibubu 阿姨婆婆
ayi 阿姨
aqzantzy 壓場子
bacioe 牌九
baciu 牌鬼
bade 排隊
badoe 牌頭
banban 碰碰
bandji 蟛蜞
bandoe 碰頭
banzaq 碰着
bakueq 排骨
balu 排卵
bandoe 棒頭
bangnin 旁人
bankuan 膀胱
banpi 旁邊
banpin 棒冰
baqdan 白糖
baqhau 白花
baqku 白果
baqseq 白蝨
baqthan 白湯
baqthi 白天
baqtse 白菜
baqcioe 白酒
baqwu 拔河
baqwuciu 白護居
baqzeq 白食
baqzy 白事
batan 排檔
bausoe 扒手
baqbaqphanphan 白白胖胖
binbansexian 平彭三響
babazu 排排座
biqciaqhu 蹩腳貨
badoebaciaq 排頭排腳
beudochi 拌淘氣
bidoedon 被頭筒
biqdoedon 鼻頭洞
biqdifan 別地方
baudekoqciaq 爬檯擱腳
