韻	字	簡化字	推導音	校正音	罕用標記	註
a	八		ba1			
a	丫		ya1			
a	劜		ya1			
a	叉		cha1			
a	卅		sa1			
a	圠		ya1			
a	巴		ba1			
a	帀		za1			
a	扎		zha1			
a	㘝		na1			
a	凹		ya1			
a	加		ja1			
a	匝		za1			
a	叭		pa1			
a	扒		ba1			
a	札		zha1			
a	汃		pa1			
a	瓜		gua1			
a	甲		ja1			
a	刖		wa1			
a	夸		kua1			
a	扱	插	cha1			
a	朳		ba1			
a	汏		ta1			
a	玐		ba1			
a	穵		ya1			
a	穵		wa1			
a	㕇		la1			
a	㕯		na1			
a	㚫		sa1			
a	㤉		qa1			
a	冹		fa1			
a	吧		ba1			
a	吧		pa1			
a	呀		xa1			
a	圿		ja1			
a	夾	夹	ja1			
a	妑		pa1			
a	妠		na1			
a	岈		xa1			
a	忦		ja1			
a	扴		ja1			
a	杈		cha1			
a	沙		sha1			
a	沞		za1			
a	芭		ba1			
a	花		hua1			
a	迊		za1			
a	㓣		qa1			
a	㓤		qa1			
a	㧓		gua1			
a	㱚		wa1			
a	㱜		zha1			
a	佮		ta1			
a	佳		ja1			
a	侘		cha1			
a	刮		gua1			
a	刷		shua1			
a	刹		cha1			
a	劼		qa1			
a	呷		xa1			
a	呾		da1			
a	咀		ya1			
a	咂		za1			
a	咼	呙	kua1			
a	妲		da1			
a	岬		ja1			
a	帓		ma1			
a	帕		ma1			
a	庘		ya1			
a	怖		fa1			
a	怛		da1			
a	抯		zha1			
a	押		ja1			
a	押		ya1			
a	法		fa1			
a	狚	旦	da1			
a	矺		da1			
a	肭		na1			
a	茁		zhua1			
a	茄		ja1			
a	軋	轧	ya1			
a	迦		ja1			
a	拉		la1			
a	㰨		xa1			
a	㺴		ba1			
a	㿬		ba1			
a	䑡		cha1			
a	剌		la1			
a	咤		zha1			
a	咭		qa1			
a	哆		cha1			
a	哇		ya1			
a	哇		wa1			
a	奓		zha1			
a	姱		kua1			
a	娃		ya1			
a	差		cha1			
a	帢		qa1			
a	恰		qa1			
a	挖		wa1			
a	枷		ja1			
a	柤		zha1			
a	查		zha1			
a	査		zha1			
a	歪		hua1			
a	洼		ya1			
a	洼		wa1			
a	炟		da1			
a	狧		ta1			
a	玾		ja1			
a	珈		ja1			
a	疤		ba1			
a	疨		xa1			
a	眨		zha1			
a	砂		sha1			
a	砎		ja1			
a	笈		cha1			
a	羍		ta1			
a	耷		da1			
a	胛		ja1			
a	臿		cha1			
a	荅	答	da1			
a	衲		na1			
a	郟	郏	ja1			
a	㰪		ya1			
a	䀣		ma1			
a	䆘		ya1			
a	䎳		wa1			
a	䞙		za1			
a	哳		zha1			
a	哵		ba1			
a	家		ja1			
a	恝		ja1			
a	捌		ba1			
a	欱		xa1			
a	浥		ya1			
a	浾		zha1			
a	畖		wa1			
a	痂		ja1			
a	痆		na1			
a	眣		zha1			
a	窊		wa1			
a	笆		ba1			
a	納	纳	na1			
a	紗	纱	sha1			
a	胯		kua1			
a	舥		pa1			
a	莎		sha1			
a	華	华	hua1			
a	蚆		ba1			
a	蚆		pa1			
a	袦		na1			
a	趿		sa1			
a	釟		ba1			
a	㔠		xa1			
a	㛥		ta1			
a	㝞		ya1			
a	㡊		qa1			
a	㭭		ba1			
a	㰰		xa1			
a	㲚		sha1			
a	㹺		ta1			
a	㾑		da1			
a	㿯		da1			
a	䀨		xa1			
a	䀫		ja1			
a	䂒		qa1			
a	䄆		gua1			
a	䅊		zha1			
a	䖧		na1			
a	䚴		wa1			
a	䯇		kua1			
a	偛		zha1			
a	唼		sha1			
a	啑		sha1			
a	喎		kua1			
a	娺		zhua1			
a	婐		gua1			
a	婠		wa1			
a	媧	娲	gua1			
a	帴		sha1			
a	帹		sha1			
a	戛		ja1			
a	捺		na1			
a	掐		qa1			
a	桬		sha1			
a	畣		da1			
a	硈		qa1			
a	秸		ja1			
a	笚		da1			
a	笝		na1			
a	笪		da1			
a	笳		ja1			
a	紮	扎	zha1			
a	聉		wa1			
a	聉		zhua1			
a	菈		la1			
a	萐		sha1			
a	蚻		zha1			
a	袈		ja1			
a	袷		ja1			
a	袺		ja1			
a	谺		xa1			
a	豝		ba1			
a	豽		na1			
a	軜		na1			
a	鈒		sa1			
a	殺	杀	sha1			
a	㑳		na1			
a	㛼		cha1			
a	㞚		sha1			
a	㞚		zha1			
a	㭼		ta1			
a	㷅		cha1			
a	䀴		ya1			
a	䛅		xa1			
a	䰲		ya1			
a	傄		xa1			
a	傝		ta1			
a	喋		zha1			
a	喢		cha1			
a	喢		sha1			
a	嗒		da1			
a	嗒		ta1			
a	嗗		wa1			
a	嗢		wa1			
a	塔		ta1			
a	插		cha1			
a	揠		ya1			
a	搭		ta1			
a	椏	桠	ya1			
a	歄		gua1			
a	渣		zha1			
a	溠		zha1			
a	猰		ja1			
a	猰		ya1			
a	猳		ja1			
a	發	发	fa1			
a	硰		sha1			
a	答		da1			
a	絓		kua1			
a	聐		ya1			
a	腡	脶	gua1			
a	葜		qa1			
a	葩		pa1			
a	葭		ja1			
a	蛙		wa1			
a	街		ja1			
a	裌		ja1			
a	貀		na1			
a	跏		ja1			
a	達	达	ta1			
a	鈀	钯	ba1			
a	鈀	钯	pa1			
a	靫		cha1			
a	靸		sa1			
a	喇		la1			
a	㑻		ma1			
a	㗙		na1			
a	㜓		da1			
a	㨥		na1			
a	㮖		ja1			
a	䃁		ya1			
a	䠸		kua1			
a	䤢		ba1			
a	䪏		na1			
a	䯉		wa1			
a	嘩	哗	hua1			
a	圔		ya1			
a	塌		ta1			
a	幏		ja1			
a	揧		la1			
a	搚		la1			
a	摋		sa1			
a	敮		xa1			
a	楂		zha1			
a	楋		la1			
a	楔		ja1			
a	楬		qa1			
a	歃		sha1			
a	溻		ta1			
a	煆		xa1			
a	煞		sha1			
a	犌		ja1			
a	睰		ma1			
a	碒		pa1			
a	窡		zhua1			
a	筴	策	ja1			
a	翜		sha1			
a	蒳		na1			
a	蔱		sha1			
a	裟		sha1			
a	詧		chua1			
a	誇	夸	kua1			
a	趏		qa1			
a	趏		gua1			
a	跨		kua1			
a	跲		ja1			
a	遢		ta1			
a	鉀	钾	ja1			
a	閘	闸	ya1			
a	颬		xa1			
a	馺		sa1			
a	骱		ja1			
a	㗨		xa1			
a	㜗		ca1			
a	㻝		la1			
a	㿴		da1			
a	䁍		qa1			
a	䈉		sha1			
a	䈋		ta1			
a	䍝		ta1			
a	䓙		kua1			
a	䓠		da1			
a	䓠		ta1			
