韻	字	簡化字	推導音	校正音	罕用標記	註
au	刀		dau1			
au	刁		diau1			
au	勹		bau1			
au	幺		yau1			
au	夭		yau1			
au	包		bau1			
au	叨		tau1			
au	叼		diau1			
au	夲		tau1			
au	尻		kau1			
au	忉		dau1			
au	艽		jau1			
au	芁		jau1			
au	交		jau1			
au	吆		yau1			
au	朷		dau1			
au	灱		xau1			
au	犳		yau1			
au	㕭		yau1			
au	妖		yau1			
au	宎		yau1			
au	抄		chau1			
au	抓		zhau1			
au	抛		pau1			
au	杓		biau1			
au	杓		piau1			
au	㤍		qau1			
au	㤒		gau1			
au	㲏		pau1			
au	䒒		diau1			
au	佻		tiau1			
au	佼		jau1			
au	呺		xau1			
au	咎		gau1			
au	坳		yau1			
au	弢		tau1			
au	弨		chau1			
au	怊		chau1			
au	怮		yau1			
au	拋	抛	pau1			
au	招		zhau1			
au	枖		yau1			
au	泡		pau1			
au	祅	祆	yau1			
au	舠		dau1			
au	苞		bau1			
au	郊		jau1			
au	䢒		jau1			
au	咬		jau1			
au	咬		yau1			
au	庣		tiau1			
au	恌		tiau1			
au	挑		tau1			
au	挑		tiau1			
au	昭		zhau1			
au	枵		xau1			
au	枹		bau1			
au	欩		chau1			
au	洮		tau1			
au	盄		zhau1			
au	胞		bau1			
au	胞		pau1			
au	茠		hau1			
au	茭		jau1			
au	茮		ziau1			
au	要		yau1			
au	訄		kau1			
au	㹲		xau1			
au	䂏		diau1			
au	倃		gau1			
au	凋		diau1			
au	哨		siau1			
au	哮		xau1			
au	娋		shau1			
au	宵		siau1			
au	庨		xau1			
au	弰		shau1			
au	捎		shau1			
au	捎		siau1			
au	消		siau1			
au	涍		xau1			
au	皋		gau1			
au	眑		yau1			
au	祧		tiau1			
au	窅		yau1			
au	羔		gau1			
au	脁		tiau1			
au	莦		shau1			
au	莦		siau1			
au	虓		xau1			
au	逍		siau1			
au	釗	钊	zhau1			
au	釗	钊	jau1			
au	高		gau1			
au	髟		biau1			
au	㲖		siau1			
au	䂭		qau1			
au	䍖		pau1			
au	䎄		xau1			
au	䫸		chau1			
au	啁		zhau1			
au	奝		diau1			
au	奞		siau1			
au	弴		diau1			
au	彪		biau1			
au	彫	雕	diau1			
au	掏		tau1			
au	教		jau1			
au	梎		yau1			
au	梟	枭	jau1			
au	梢		shau1			
au	焇		siau1			
au	猇		xau1			
au	脬		pau1			
au	蛁		diau1			
au	訞		yau1			
au	訬		chau1			
au	郻		qau1			
au	髙		gau1			
au	㡑		ciau1			
au	䍊		jau1			
au	喓		yau1			
au	喬	乔	jau1			
au	慅		sau1			
au	搔		sau1			
au	朝		zhau1			
au	椒		ziau1			
au	溞		sau1			
au	焦		ziau1			
au	猋		biau1			
au	琱	雕	diau1			
au	痟		siau1			
au	硝		siau1			
au	窙		xau1			
au	絛	绦	tau1			
au	翛		siau1			
au	聎		tiau1			
au	臯		gau1			
au	葽		yau1			
au	蛟		jau1			
au	詜		tau1			
au	貂		diau1			
au	超		chau1			
au	軪		yau1			
au	鄗		qau1			
au	鈔	钞	chau1			
au	㚠		qau1			
au	㚠		xau1			
au	㟸		gau1			
au	䘯		shau1			
au	䫽		pau1			
au	傮		zau1			
au	僄		piau1			
au	嗃		xau1			
au	幍		tau1			
au	慆		tau1			
au	揱		siau1			
au	搯	掏	tau1			
au	旓		shau1			
au	滔		tau1			
au	碉		diau1			
au	筲		shau1			
au	綃	绡	shau1			
au	綃	绡	siau1			
au	腰		yau1			
au	艄		shau1			
au	蒿		hau1			
au	蓧		tiau1			
au	蛸		shau1			
au	蛸		siau1			
au	裯		dau1			
au	詨		jau1			
au	趒		tiau1			
au	跤		qau1			
au	鄡		qau1			
au	鉊		zhau1			
au	魛		dau1			
au	鳭		zhau1			
au	㚋		diau1			
au	㡟		cau1			
au	㡟		zau1			
au	㮴		sau1			
au	䓘		gau1			
au	䞴		zhau1			
au	䫿		chau1			
au	僬		ziau1			
au	嘌		piau1			
au	嘐		jau1			
au	嘐		xau1			
au	嫖		piau1			
au	幖		biau1			
au	彯		piau1			
au	慓		piau1			
au	摎		jau1			
au	摷		zhau1			
au	摽		piau1			
au	敲		qau1			
au	槄		tau1			
au	槔		gau1			
au	歊		xau1			
au	漂		piau1			
au	瑫		tau1			
au	睾		gau1			
au	瞍		siau1			
au	綢	绸	tau1			
au	缫		sau1			
au	翢		tau1			
au	膏		gau1			
au	蔈		biau1			
au	蜪		tau1			
au	踃		siau1			
au	輎		shau1			
au	遭		zau1			
au	鉸	铰	jau1			
au	銚	铫	tiau1			
au	㩋		siau1			
au	㷮		zau1			
au	䑹		sau1			
au	䙅		yau1			
au	嘮	唠	chau1			
au	嘲		zhau1			
au	嘵	哓	xau1			
au	噍		ziau1			
au	墝		qau1			
au	嬌	娇	jau1			
au	憍		jau1			
au	憍		qau1			
au	憢		xau1			
au	撓	挠	hau1			
au	撟	挢	jau1			
au	撨		siau1			
au	槽		zau1			
au	標	标	biau1			
au	澆	浇	jau1			
au	熛		biau1			
au	熝		au1			
au	獢		xau1			
au	箾		siau1			
au	篍		ciau1			
au	膠	胶	jau1			
au	膠	胶	qau1			
au	艘		sau1			
au	艘		siau1			
au	蕉		ziau1			
au	蕎	荞	jau1			
