韻	字	簡化字	推導音	校正音	罕用標記	註
e	丿		pie1			
e	卩		zie1			
e	万		me1			
e	乇		zhe1			
e	夨		zhe1			
e	夨		lie1			
e	孑		je1			
e	孒		jue1			
e	孓		jue1			
e	㔹		le1			
e	仂		le1			
e	仄		zhe1			
e	厄		e1			
e	尐		ziue1			
e	曰		yue1			
e	月		yue1			
e	阞		le1			
e	切		cie1			
e	冊	册	che1			
e	厇		zhe1			
e	戉	钺	yue1			
e	戹		e1			
e	扐	仂	le1			
e	扒		bie1			
e	疒		ne1			
e	艻		le1			
e	北		be1			
e	决		jue1			
e	刖		yue1			
e	帇		nie1			
e	扤		yue1			
e	朸		le1			
e	氒		jue1			
e	玏		le1			
e	百		be1			
e	色		she1			
e	血		xue1			
e	阨	厄	e1			
e	列		lie1			
e	劣		liue1			
e	㘨		nie1			
e	伯		be1			
e	佉		qe1			
e	克		ke1			
e	别		bie1			
e	劫		je1			
e	吷		xue1			
e	呃		e1			
e	呐		niue1			
e	圼		nie1			
e	妜		yue1			
e	忑		te1			
e	忒		te1			
e	扼		e1			
e	抈		yue1			
e	抉		jue1			
e	抉		yue1			
e	杔		zhe1			
e	決	决	jue1			
e	決	决	xue1			
e	沏		cie1			
e	泐		le1			
e	芵		jue1			
e	阸		e1			
e	㚔		nie1			
e	㞽		xue1			
e	㧖		e1			
e	㭈		jue1			
e	㳁		zhe1			
e	㹤		qe1			
e	些		sie1			
e	佰		me1			
e	侐		xue1			
e	冽		lie1			
e	刻		ke1			
e	呝		e1			
e	呫		tie1			
e	呿		qe1			
e	咋		zhe1			
e	坹		xue1			
e	坼		che1			
e	妾		cie1			
e	帖		tie1			
e	怕		pe1			
e	怗		tie1			
e	怚		zie1			
e	怯		qe1			
e	戾		lie1			
e	抴	曳	ye1			
e	抾		qe1			
e	拆		che1			
e	拍		pe1			
e	昃		zhe1			
e	枂		yue1			
e	泄		sie1			
e	泧		xue1			
e	泧		yue1			
e	泬		xue1			
e	狘		xue1			
e	玥		yue1			
e	玦		jue1			
e	矺		zhe1			
e	竻		le1			
e	苶		nie1			
e	虱		she1			
e	衱		je1			
e	迦		je1			
e	迫		be1			
e	迮		zhe1			
e	陌		me1			
e	肋		le1			
e	㑙		die1			
e	㚛		xe1			
e	㢵		xe1			
e	㤠		lie1			
e	㰦		qe1			
e	㹮		me1			
e	㼟		be1			
e	䀗		jue1			
e	䆕		yue1			
e	侳		ziue1			
e	冒		me1			
e	則	则	ze1			
e	剋	克	ke1			
e	勀		ke1			
e	勊		ke1			
e	匧		qe1			
e	咥		die1			
e	咳		ke1			
e	姴		lie1			
e	客		ke1			
e	峉		e1			
e	帞		me1			
e	拮		je1			
e	拹		xe1			
e	拺		che1			
e	拺		she1			
e	拽		ye1			
e	挌	格	ge1			
e	挒		lie1			
e	敀		be1			
e	敀		pe1			
e	枼		ye1			
e	柏		be1			
e	柣		cie1			
e	柵	栅	che1			
e	洌		lie1			
e	洦		me1			
e	洦		pe1			
e	洫		xue1			
e	狊		jue1			
e	狊		xue1			
e	狤		je1			
e	珀		pe1			
e	疦		jue1			
e	疦		xue1			
e	砉		xue1			
e	砉		hue1			
e	胠		qe1			
e	脉		me1			
e	茖		ge1			
e	茢		lie1			
e	虴		zhe1			
e	迾		lie1			
e	革		ge1			
e	契		qe1			
e	咽		ye1			
e	㖏		nie1			
e	㛍		qe1			
e	㛍		xe1			
e	㛗		ciue1			
e	㡇		tie1			
e	㤲		qe1			
e	㦴		ge1			
e	㪾		ge1			
e	㼤		qe1			
e	㾀		qe1			
e	㿭		che1			
e	䏐		jue1			
e	䙷		de1			
e	哷		liue1			
e	唊		je1			
e	埒		liue1			
e	娎		xe1			
e	娔		ke1			
e	娧		yue1			
e	屑		sie1			
e	悅	悦	yue1			
e	悏		qe1			
e	挈		qe1			
e	捇		hue1			
e	捏		nie1			
e	栔		qe1			
e	栜		she1			
e	栢		be1			
e	栵		lie1			
e	格		ge1			
e	桔		je1			
e	欮		jue1			
e	殈		xue1			
e	浖		liue1			
e	浥		ye1			
e	浹	浃	zie1			
e	涅		nie1			
e	涉		die1			
e	烕		xue1			
e	畟		che1			
e	疶		sie1			
e	砝		je1			
e	窄		zhe1			
e	缺		que1			
e	罝		zie1			
e	脅	胁	xe1			
e	脈	脉	me1			
e	臬		ye1			
e	莂		bie1			
e	莢	荚	je1			
e	蚅		e1			
e	蚏		yue1			
e	蚗		jue1			
e	袓		zie1			
e	訐	讦	je1			
e	貣		te1			
e	軏		yue1			
e	鬲		ge1			
e	索		she1			
e	烈		lie1			
e	㖪		hue1			
e	㡋		ye1			
e	㢼		bie1			
e	㥁		de1			
e	㥂		te1			
e	㧹		te1			
e	㭩		liue1			
e	㭭		bie1			
e	㲕		liue1			
e	㸹		liue1			
e	㼪		zie1			
e	㾊		she1			
e	䅀		lie1			
e	䆝		xue1			
e	䋐		yue1			
e	䎀		xue1			
e	䟙		cie1			
e	偞		xe1			
e	偞		ye1			
e	偰		sie1			
e	側	侧	zhe1			
e	剨		hue1			
e	唬		gue1			
e	唳		lie1			
e	唼		zie1			
e	啞	哑	e1			
e	國	国	gue1			
e	埻		gue1			
e	婕		zie1			
e	得		de1			
e	徢		sie1			
e	惗		nie1			
e	捩		lie1			
e	掝		hue1			
e	接		zie1			
e	梜		je1			
e	楖		zhe1			
e	淁		cie1			
e	淂		de1			
e	淢		xue1			
e	焃		hue1			
e	焆		ye1			
e	焆		yue1			
e	焎		xe1			
e	眲		ne1			
e	眽		me1			
e	硅		hue1			
e	禼		sie1			
e	窒		die1			
e	笘		die1			
e	笧		che1			
e	笮		zhe1			
e	粖		mie1			
e	紲	绁	sie1			
e	脞		ciue1			
e	脟		liue1			
e	脦		te1			
e	舴		zhe1			
e	菍		nie1			
e	菨		zie1			
e	蚱		zhe1			
e	蛈		tie1			
e	袷		je1			
e	袹		me1			
e	袺		je1			
e	觖		jue1			
e	訣	诀	jue1			
e	責	责	zhe1			
e	赽		jue1			
e	趹		jue1			
e	跀		yue1			
e	軛	轭	e1			
e	郹		jue1			
e	鈒		she1			
e	閉	闭	bie1			
e	隉	陧	ye1			
e	雪		siue1			
e	雭		she1			
e	麥	麦	me1			
e	勒		le1			
e	捻		nie1			
e	匿		te1			
e	㔡		bie1			
e	㗊		zhe1			
e	㝣		ye1			
e	㞚		che1			
e	㥦		qe1			
e	㪑		ye1			
e	㰲		xue1			
e	㳻		she1			
e	㳻		zhe1			
e	㾜		qe1			
e	䀷		je1			
e	䀹		zie1			
e	䆢		yue1			
e	䒸		xue1			
e	䙽		xe1			
e	䛎		xue1			
e	䟠		xue1			
e	䢡		sie1			
e	䦑		xue1			
e	厥		jue1			
e	喀		ke1			
e	喋		die1			
e	嗟		zie1			
e	媟		sie1			
e	屟		sie1			
e	弽		xe1			
e	惪		de1			
e	惻	恻	che1			
e	愒		qe1			
e	愜	惬	qe1			
e	戢		zhe1			
e	掰		be1			
e	揑		nie1			
e	揢		ke1			
e	揭		je1			
e	揭		qe1			
e	揲		ye1			
e	揳		sie1			
e	敜		nie1			
e	敠		ciue1			
e	棏		zhe1			
e	椄		zie1			
e	殕		e1			
e	殗		ye1			
e	渫		sie1			
e	測	测	che1			
e	湀		que1			
e	湐		be1			
e	湨		jue1			
e	湱		hue1			
e	湼		nie1			
e	焱		xue1			
e	猰		qe1			
e	猲		xe1			
e	稄		zhe1			
e	策		che1			
e	粤		yue1			
e	絏		sie1			
e	結	结	je1			
e	絜		je1			
e	絟		ciue1			
e	絬		sie1			
e	聑		die1			
e	腌		ye1			
e	萴		zhe1			
e	蒫		zie1			
e	蛒		ge1			
e	蛚		lie1			
e	蛨		me1			
e	蛪		qe1			
e	蛭		die1			
e	衇		me1			
e	裓		ge1			
e	覕		mie1			
e	豟		e1			
e	貼	贴	tie1			
e	越		yue1			
e	跕		die1			
e	跕		tie1			
e	軶		e1			
e	鄓		ye1			
e	鈅		yue1			
e	鈌		jue1			
e	隔		ge1			
e	黑		he1			
e	葉	叶	ye1			
e	裂		lie1			
e	㓼		che1			
e	㣂		e1			
e	㥶		se1			
e	㨝		sie1			
e	㼲		lie1			
e	䁆		ye1			
e	䁇		me1			
e	䂸		gue1			
e	䇷		bie1			
e	䋢		bie1			
e	䋢		pie1			
e	䦈		zie1			
e	債	债	zhe1			
e	僁		sie1			
e	嗇	啬	she1			
e	嗋		xe1			
e	嗝		ge1			
e	嗼		me1			
e	嵲		ye1			
e	愶		xe1			
e	搣		mie1			
e	搤		e1			
e	搹		ge1			
e	暍		ye1			
e	楔		sie1			
e	楪		ye1			
e	楫		zie1			
e	業	业	ye1			
e	楶		zie1			
e	歇		xe1			
e	殜		ye1			
e	溹		she1			
e	滅	灭	mie1			
e	漷		hue1			
e	煠		ye1			
e	犑		jue1			
e	瑟		she1			
e	睪	睾	nie1			
e	睫		zie1			
e	矠		che1			
e	筴	策	che1			
e	筴	策	je1			
e	節	节	zie1			
e	粵	粤	yue1			
e	罨		ye1			
e	罬		jue1			
e	翜		she1			
e	蒛		que1			
e	蛶		liue1			
e	蛺	蛱	je1			
e	蛻	蜕	yue1			
e	蜐		je1			
e	蝍		zie1			
e	裛		ye1			
e	覛		me1			
e	觡		ge1			
e	詧		cie1			
e	詻	咯	e1			
e	貉		me1			
e	貊		me1			
e	趌		je1			
e	趔		lie1			
e	跲		je1			
e	鉆	钻	tie1			
e	鉞	钺	yue1			
e	鉣		je1			
e	靴		xue1			
e	飻		tie1			
e	馲		zhe1			
e	魝		je1			
e	塞		se1			
e	㒊		she1			
e	㔢		ziue1			
e	㗧		die1			
e	㗫		cie1			
e	㜘		zie1			
e	㝪		die1			
e	㡜		sie1			
e	㡜		siue1			
e	㥽		che1			
e	㥾		te1			
e	㨹		siue1			
e	䁋		xe1			
e	䅥		je1			
e	䈉		zie1			
e	䎨		ye1			
e	䎪		ne1			
e	䘷		bie1			
e	䘽		ye1			
e	䛟		lie1			
e	䞵		jue1			
e	䟹		liue1			
e	䦗		xue1			
e	䩞		die1			
e	䩞		tie1			
e	䫾		pie1			
e	䬂		xue1			
e	僣	僭	tie1			
e	劂		jue1			
e	劃	划	hue1			
e	厭	厌	ye1			
e	嘀		zhe1			
e	嘓		gue1			
e	嘖	啧	zhe1			
e	墄		ce1			
e	嫡		zhe1			
e	嫧		che1			
e	嫧		zhe1			
e	嫳		pie1			
e	寨		se1			
e	幗	帼	gue1			
e	幘	帻	zhe1			
e	愬		she1			
e	慖		gue1			
e	慝		te1			
e	摑	掴	gue1			
e	摘		zhe1			
e	摵		she1			
e	曄	晔	ye1			
e	曅		ye1			
e	朅		qe1			
e	榍		sie1			
e	槅		ge1			
e	歰		she1			
e	漍		gue1			
e	潎		pie1			
e	熁		xe1			
e	燁	烨	ye1			
e	瘥		zie1			
e	瞁		xue1			
e	綟		lie1			
e	緁		cie1			
e	緎		xue1			
e	聝		gue1			
e	膈		ge1			
e	蔑		mie1			
e	蜨		sie1			
e	蜺	霓	ye1			
e	褉		xe1			
e	赫		he1			
e	踂		nie1			
e	鉻	铬	ge1			
e	銆		me1			
e	銕		tie1			
e	駃		jue1			
e	魄		pe1			
e	魥		qe1			
e	說	说	yue1			
e	㦎		hue1			
e	㩇		hue1			
e	㱳		me1			
e	㴽		sie1			
e	䈎		ye1			
e	䑜		tie1			
e	䓲		yue1			
e	䙄		che1			
e	䦝		hue1			
e	䧨		ye1			
e	嘿		he1			
e	噎		ye1			
e	墨		me1			
e	屧		sie1			
e	巤		lie1			
e	德		de1			
e	慹		nie1			
e	憋		bie1			
e	憋		pie1			
e	憡		che1			
e	憰		jue1			
e	撅		jue1			
e	撆		pie1			
e	暬		nie1			
e	暼		pie1			
e	槷		ye1			
e	潏		jue1			
e	潔	洁	je1			
e	潶		he1			
e	澁		she1			
e	濈		zhe1			
e	熭		yue1			
e	獗		jue1			
e	獦		lie1			
e	瘚		jue1			
e	皛		pe1			
e	皣		ye1			
e	瞱		ye1			
e	磔		zhe1			
e	篋	箧	qe1			
e	緙	缂	ke1			
e	緤		sie1			
e	羯		je1			
e	膕		gue1			
e	艒		me1			
e	蕝		ziue1			
e	蕨		jue1			
e	蕺		zhe1			
e	虢		gue1			
e	蝨	虱	she1			
e	蝶		tie1			
e	諎		zhe1			
e	諕		hue1			
e	踥		cie1			
e	鄴	邺	ye1			
e	鋏	铗	je1			
e	鋝	锊	liue1			
e	鋱	铽	te1			
e	閱	阅	yue1			
e	頟		e1			
e	颲		lie1			
e	骼		ge1			
e	鳽		e1			
e	鴂		jue1			
e	㗼		ye1			
e	㗾		xue1			
e	㱄		he1			
e	㵐		que1			
e	䙐		ke1			
e	䠐		que1			
e	䤶		ye1			
e	䨛		she1			
e	䩤		xe1			
e	䬉		hue1			
e	䭆		ne1			
e	噦	哕	yue1			
e	嬙	嫱	she1			
e	嶫		ye1			
e	嶭		ye1			
e	幯		zie1			
e	懎		she1			
e	擌		she1			
e	擳		zhe1			
e	樾		yue1			
e	橛		jue1			
e	橜		jue1			
e	檝		zie1			
e	澲		ye1			
e	濇		she1			
e	瀄		zhe1			
e	璏		yue1			
e	皟		che1			
e	瞥		pie1			
e	篞		nie1			
e	糏		sie1			
e	膬		ciue1			
e	臲		ye1			
e	薔	蔷	she1			
e	薛		sie1			
e	薜		be1			
e	諽		ge1			
e	諽		ke1			
e	謁	谒	ye1			
e	辥		sie1			
e	錜		nie1			
e	閼	阏	ye1			
e	閾	阈	xue1			
e	霓		ye1			
e	頰	颊	je1			
e	餣		ye1			
e	餩		e1			
e	鴓		mie1			
e	默		me1			
e	㒝		mie1			
e	㔎		sie1			
e	㱇		she1			
e	㸣		ye1			
e	䆷		xue1			
e	䊝		sie1			
e	䊞		zhe1			
e	䌌		cie1			
e	䨣		ge1			
e	䬎		gue1			
e	䭱		pie1			
e	儠		lie1			
e	嚇	吓	he1			
e	嬮		ye1			
e	幭		mie1			
e	懱		mie1			
e	擘		be1			
e	檗		be1			
e	櫛	栉	zhe1			
e	澀	涩	she1			
e	瀎		mie1			
e	燮		sie1			
e	璱		she1			
e	瞲		xue1			
e	穕		cie1			
e	篾		mie1			
e	簀	箦	zhe1			
e	藒		qe1			
e	蟈	蝈	gue1			
e	蟋		she1			
e	褻	亵	sie1			
e	謋		hue1			
e	貖		e1			
e	貘		me1			
e	鍥	锲	je1			
e	鍥	锲	qe1			
e	鍱		ye1			
e	鍻		je1			
e	闃	阒	que1			
e	闋	阕	que1			
e	馘		gue1			
e	鮤		lie1			
e	鴷		lie1			
e	鵅		ge1			
e	㘉		zhe1			
e	㩢		mie1			
e	㸅		zie1			
e	䊦		ye1			
e	䌘		bie1			
e	䐸		hue1			
e	䔴		che1			
e	䜉		che1			
e	䫔		qe1			
e	䱒		ye1			
e	䳖		nie1			
e	擪		ye1			
e	擷	撷	xe1			
e	擸		lie1			
e	爀		he1			
e	爗		ye1			
e	癤	疖	zie1			
e	矆		xue1			
e	礊		ke1			
e	礊		hue1			
e	礐		le1			
e	穡	穑	she1			
e	繣		hue1			
e	聶	聂	nie1			
e	虩		she1			
e	蟨		jue1			
e	蟩		jue1			
e	覆		pe1			
e	謫	谪	zhe1			
e	謮		zhe1			
e	謯		zie1			
e	邋		lie1			
e	鄨		bie1			
e	闑		ye1			
e	闕	阙	que1			
e	霢		me1			
e	鞢		sie1			
e	韘		sie1			
e	額	额	e1			
e	餮		tie1			
e	饁		ye1			
e	鵖		je1			
e	獵	猎	lie1			
e	㯿		lie1			
e	㯿		ye1			
e	㲱		lie1			
e	㶁		gue1			
e	䉢		she1			
e	䌜		nie1			
e	䕈		sie1			
e	䥍		sie1			
e	䨮		siue1			
e	䩹		e1			
e	䳤		bie1			
e	孼		ye1			
e	孽		ye1			
e	犣		lie1			
e	癟	瘪	pie1			
e	糪		be1			
e	糪		pe1			
e	繬		she1			
e	罊		ke1			
e	蠍	蝎	xe1			
e	譎	谲	jue1			
e	蹶		jue1			
e	鐅		pie1			
e	鞾		xue1			
e	騤		jue1			
e	鯜		cie1			
e	鯜		zie1			
e	㜸		ye1			
e	䁽		lie1			
e	䁾		mie1			
e	䃳		lie1			
e	䥛		je1			
e	䱮		e1			
e	孂		ge1			
e	櫱		ye1			
e	矍		jue1			
e	籋		nie1			
e	蘖		ye1			
e	蠛		mie1			
e	衊	蔑	mie1			
e	轖		she1			
e	鏶		cie1			
e	鐍		jue1			
e	霵		zhe1			
e	驀	蓦	me1			
e	鶪		jue1			
e	黦		ye1			
e	黦		yue1			
e	齛		sie1			
e	䁿		me1			
e	䉭		lie1			
e	䘃		me1			
e	䪂		ge1			
e	䪂		she1			
e	攝	摄	nie1			
e	纆		me1			
e	觼		jue1			
e	讁		zhe1			
e	鐵	铁	tie1			
e	齧	啮	ye1			
e	㸎		nie1			
e	䘅		ne1			
e	䜲		lie1			
e	竊	窃	cie1			
e	糱		ye1			
e	蠥		ye1			
e	躐		lie1			
e	鑈		nie1			
e	飋		she1			
e	鬛		lie1			
e	鰳	鳓	le1			
e	鱉	鳖	bie1			
e	鷩		bie1			
e	鼳		jue1			
e	䶬		ye1			
e	彏		jue1			
e	彏		xue1			
e	戄		xue1			
e	攫		jue1			
e	玃		jue1			
e	蠮		ye1			
e	靨	靥	ye1			
e	驖		tie1			
e	驜		ye1			
e	魘	魇	ye1			
e	鱖	鳜	jue1			
e	䩏		mie1			
e	䪉		lie1			
e	虉		e1			
e	躞		sie1			
e	鸈		ye1			
e	鼈		bie1			
e	䂄		xue1			
e	讗		gue1			
e	躡	蹑	nie1			
e	鬣		lie1			
e	鱴		mie1			
e	䲙		zie1			
e	蠼		jue1			
e	鑷	镊	nie1			
e	鱲		lie1			
e	䡾		ye1			
e	䶦		che1			
e	虌		bie1			
e	蠽		ziue1			
e	讞	谳	ye1			
e	貜		jue1			
e	躩		jue1			
e	躩		que1			
e	钀		ye1			
e	钁		jue1			
e	䲜		ye1			
e	𠄅		ye1			
e	𠄌		jue1			
e	𠋧		qe1			
e	𠋬		jue1			
e	𠏃		yue1			
e	𠓗		pe1			
e	𠗉		zie1			
e	𠛱		lie1			
e	𠜻		hue1			
e	𠞩		che1			
e	𠟪		cie1			
e	𠟪		ye1			
e	𠟭		ze1			
e	𠟻		ze1			
e	𠠎		kue1			
e	𠠗		lie1			
e	𠢤		jue1			
e	𠢳		she1			
e	𠣾		pe1			
e	𠨮		zhe1			
e	𠩂		qe1			
e	𠬨		zie1			
e	𠮊		de1			
e	𠯙		ziue1			
e	𠲷		die1			
e	𠵭		ye1			
e	𠷾		xue1			
e	𠿠		zhe1			
e	𡂏		lie1			
e	𡂩		lie1			
e	𡇓		die1			
e	𡇠		zhe1			
e	𡊻		lie1			
e	𡍤		nie1			
e	𡍩		che1			
e	𡍪		che1			
e	𡍫		che1			
e	𡐞		bie1			
e	𡐤		qe1			
e	𡔣		je1			
e	𡔣		qe1			
e	𡘐		xe1			
e	𡘴		bie1			
e	𡚠		jue1			
e	𡛟		yue1			
e	𡞘		sie1			
e	𡞢		ke1			
e	𡠜		me1			
e	𡡕		yue1			
e	𡣫		me1			
e	𡩡		she1			
e	𡫼		se1			
e	𡴎		ye1			
e	𡴺		zie1			
e	𡶫		ye1			
e	𡿖		ye1			
e	𡿪		lie1			
e	𢃤		hue1			
e	𢄏		me1			
e	𢄶		hue1			
e	𢅰		he1			
e	𢉥		ye1			
e	𢎛		zie1			
e	𢓜		ge1			
e	𢕬		che1			
e	𢖦		que1			
e	𢘋		te1			
e	𢚃		liue1			
e	𢝇		hue1			
e	𢠳		pie1			
e	𢡍		ge1			
e	𢢜		ye1			
e	𢥛		se1			
e	𢧧		ge1			
e	𢪍		ziue1			
e	𢪎		xue1			
e	𢫦		me1			
e	𢬴		die1			
e	𢯩		zhe1			
e	𢴲		xe1			
e	𢶆		je1			
e	𢶉		pe1			
e	𢶋		tie1			
e	𢹖		gue1			
e	𢼛		ge1			
e	𢼛		gue1			
e	𢽱		ye1			
e	𣀳		nie1			
e	𣄉		ye1			
e	𣅔		zhe1			
e	𣅦		zhe1			
e	𣆩		che1			
e	𣉘		ne1			
e	𣊓		sie1			
e	𣋲		lie1			
e	𣌍		nie1			
e	𣌏		de1			
e	𣐋		yue1			
e	𣚃		je1			
e	𣚕		ye1			
e	𣠺		cie1			
e	𣢩		xe1			
e	𣣲		xe1			
e	𣧖		ziue1			
e	𣧡		xue1			
e	𣩈		zie1			
e	𣬎		jue1			
e	𣶏		zie1			
e	𣹩		xe1			
e	𣽒		sie1			
e	𣽤		she1			
e	𤁢		zie1			
e	𤁹		hue1			
e	𤅊		ye1			
e	𤊾		mie1			
e	𤏻		sie1			
e	𤖟		be1			
e	𤖴		che1			
e	𤖼		pe1			
e	𤗈		sie1			
e	𤜤		zhe1			
e	𤝱		ye1			
e	𤟍		zhe1			
e	𤢔		xe1			
e	𤨕		le1			
e	𤫉		sie1			
e	𤲰		me1			
e	𤴼		qe1			
e	𤶚		nie1			
e	𤷇		xue1			
e	𤷇		hue1			
e	𤷾		qe1			
e	𥃎		lie1			
e	𥄎		xue1			
e	𥅧		xue1			
e	𥆛		xue1			
e	𥇙		hue1			
e	𥈾		yue1			
e	𥉅		ge1			
e	𥉓		mie1			
e	𥉺		die1			
e	𥊬		zhe1			
e	𥊮		hue1			
e	𥊸		te1			
e	𥋿		he1			
e	𥌨		mie1			
e	𥍟		xue1			
