韻	字	簡化字	推導音	校正音	罕用標記	註
eng	丁		zheng1			
eng	丰		feng1			
eng	升		sheng1			
eng	叮		zheng1			
eng	正		zheng1			
eng	生		sheng1			
eng	仹		feng1			
eng	劥		keng1			
eng	延		zheng1			
eng	朾		zheng1			
eng	玎		zheng1			
eng	阬	坑	keng1			
eng	亨		heng1			
eng	伻		peng1			
eng	佂		zheng1			
eng	匉		peng1			
eng	坑		keng1			
eng	妦		feng1			
eng	抍		sheng1			
eng	更		geng1			
eng	㔙		beng1			
eng	㛁		peng1			
eng	庚		geng1			
eng	征		zheng1			
eng	怔		zheng1			
eng	怦		peng1			
eng	抨		peng1			
eng	昇	升	sheng1			
eng	爭	争	zheng1			
eng	狌		sheng1			
eng	祊		beng1			
eng	虰		cheng1			
eng	䟓		cheng1			
eng	埩		zheng1			
eng	姘		peng1			
eng	封		feng1			
eng	拼		beng1			
eng	爯		cheng1			
eng	牲		sheng1			
eng	珄		sheng1			
eng	砊		keng1			
eng	秔		geng1			
eng	貞	贞	zheng1			
eng	陞	升	sheng1			
eng	風	风	feng1			
eng	㱡		sheng1			
eng	䢚		geng1			
eng	凈	净	cheng1			
eng	哼		heng1			
eng	埂		geng1			
eng	峯		feng1			
eng	峰		feng1			
eng	悙		heng1			
eng	捠		beng1			
eng	棦		cheng1			
eng	浜		beng1			
eng	浭		geng1			
eng	烝		zheng1			
eng	琤		cheng1			
eng	症		zheng1			
eng	眐		zheng1			
eng	砰		peng1			
eng	耕		geng1			
eng	脀		zheng1			
eng	莑		feng1			
eng	莖	茎	eng1			
eng	㸼		feng1			
eng	䋊		zheng1			
eng	䍬		peng1			
eng	偁		cheng1			
eng	偑		feng1			
eng	偵	侦	cheng1			
eng	堋		peng1			
eng	崩		beng1			
eng	庱		cheng1			
eng	弸		peng1			
eng	桻		feng1			
eng	殸		keng1			
eng	烽		feng1			
eng	牼		keng1			
eng	猙	狰	zheng1			
eng	硎		keng1			
eng	笙		sheng1			
eng	脝		heng1			
eng	㜂		feng1			
eng	䑫		beng1			
eng	䒱		zheng1			
eng	勝	胜	sheng1			
eng	崶		feng1			
eng	搄		geng1			
eng	曾		zeng1			
eng	湞	浈	zheng1			
eng	猦		feng1			
eng	猩		sheng1			
eng	甥		sheng1			
eng	登		deng1			
eng	硜		keng1			
eng	稉		geng1			
eng	絙		geng1			
eng	絣		beng1			
eng	葑		feng1			
eng	閍		beng1			
eng	嗙		beng1			
eng	嫈		eng1			
eng	楓	枫	feng1			
eng	楨	桢	zheng1			
eng	犎		feng1			
eng	睖		cheng1			
eng	禎	祯	zheng1			
eng	粳		geng1			
eng	羥	羟	keng1			
eng	蒸		zheng1			
eng	蜂		feng1			
eng	鉎		sheng1			
eng	鉦	钲	zheng1			
eng	閛		peng1			
eng	䋫		zheng1			
eng	䞓		cheng1			
eng	僜		cheng1			
eng	僧		seng1			
eng	槍	枪	cheng1			
eng	漰		peng1			
eng	瘋	疯	feng1			
eng	稱	称	cheng1			
eng	箏	筝	zheng1			
eng	綪		zheng1			
eng	錚	铮	cheng1			
eng	㷭		feng1			
eng	噌		cheng1			
eng	增		zeng1			
eng	徵		zheng1			
eng	憎		zeng1			
eng	樘		cheng1			
eng	篈		feng1			
eng	縆		geng1			
eng	賡	赓	geng1			
eng	趟		zheng1			
eng	鋒	锋	feng1			
eng	㲪		deng1			
eng	㽅		deng1			
eng	䴤		sheng1			
eng	橕		cheng1			
eng	橧		zeng1			
eng	熷		zeng1			
eng	燈	灯	deng1			
eng	璒		deng1			
eng	瞠		cheng1			
eng	篜		zheng1			
eng	罃		eng1			
eng	膯		teng1			
eng	褮		eng1			
eng	赬		cheng1			
eng	鴊		zheng1			
eng	䆸		zheng1			
eng	檉	柽	cheng1			
eng	檒		feng1			
eng	矰		zeng1			
eng	磳		zeng1			
eng	竀		cheng1			
eng	竲		zeng1			
eng	繃	绷	beng1			
eng	罾		zeng1			
eng	聲	声	sheng1			
eng	䎖		zeng1			
eng	䒏		seng1			
eng	䔲		deng1			
eng	䕄		zheng1			
eng	甖		eng1			
eng	簦		deng1			
eng	豐	丰	feng1			
eng	鎗	枪	cheng1			
eng	鼪		sheng1			
eng	䱢		zheng1			
eng	羹		geng1			
eng	蟶	蛏	cheng1			
eng	譄		zeng1			
eng	鏗	铿	keng1			
eng	鯖	鲭	zheng1			
eng	鶊		geng1			
eng	㒥		feng1			
eng	嚶	嘤	eng1			
eng	癥	症	zheng1			
eng	罌	罂	eng1			
eng	酆		feng1			
eng	騯		beng1			
eng	寷		feng1			
eng	櫻	樱	eng1			
eng	灃	沣	feng1			
eng	蘴		feng1			
eng	譻		eng1			
eng	鐺	铛	cheng1			
eng	鶯	莺	eng1			
eng	蠭		feng1			
eng	鬙		seng1			
eng	䳾		deng1			
eng	鸎		eng1			
eng	鼟		teng1			
eng	飌		feng1			
eng	鸚	鹦	eng1			
eng	麷		feng1			
eng	𠑅		zheng1			
eng	𠠜		eng1			
eng	𡉚		feng1			
eng	𡴀		feng1			
eng	𡾿		feng1			
eng	𢆸		beng1			
eng	𢓱		feng1			
eng	𣃘		zheng1			
eng	𤃶		teng1			
eng	𤘾		peng1			
eng	𥉸		keng1			
eng	𥛱		beng1			
eng	𦙫		zheng1			
eng	𦚦		zheng1			
eng	𦼏		zeng1			
eng	𧆉		feng1			
eng	𧒒		feng1			
eng	𧘿		zheng1			
eng	𧯫		zheng1			
eng	𧰥		teng1			
eng	𨒌		zheng1			
eng	𨜓		zheng1			
eng	𨟃		zheng1			
eng	𨢹		zheng1			
eng	𨺟		zheng1			
eng	𩘽		zheng1			
eng	𩱧		geng1			
eng	仍		rheng2			
eng	扔		rheng2			
eng	艿		rheng2			
eng	辸		rheng2			
eng	㭁		rheng2			
eng	丞		cheng2			
eng	庄		peng2			
eng	成		cheng2			
eng	朾		cheng2			
eng	汎	泛	feng2			
eng	礽		rheng2			
eng	芃		feng2			
eng	芃		peng2			
eng	行		heng2			
eng	䆑		cheng2			
eng	呈		cheng2			
eng	夆		feng2			
eng	盯		cheng2			
eng	承		cheng2			
eng	朋		peng2			
eng	氓		meng2			
eng	甿		meng2			
eng	盲		meng2			
eng	虰		cheng2			
eng	郕		cheng2			
eng	䚮		rheng2			
eng	乗		cheng2			
eng	俓		eng2			
eng	城		cheng2			
eng	埩		cheng2			
eng	宬		cheng2			
eng	峘		heng2			
eng	恒		heng2			
eng	洐		heng2			
eng	虻		meng2			
eng	乘		cheng2			
eng	倗		peng2			
eng	倰		leng2			
eng	冡		meng2			
eng	娙		eng2			
eng	挰		cheng2			
eng	捀		feng2			
eng	桁		heng2			
eng	珩		heng2			
eng	珹		cheng2			
eng	罞		meng2			
eng	胻		heng2			
eng	能		neng2			
eng	莔		meng2			
eng	莖	茎	heng2			
eng	逢		feng2			
eng	㥊		peng2			
eng	堋		peng2			
eng	崝		cheng2			
eng	崢	峥	cheng2			
eng	弸		peng2			
eng	掁		cheng2			
eng	梵		feng2			
eng	牼		heng2			
eng	珵		cheng2			
eng	盛		cheng2			
eng	萌		meng2			
eng	䟫		cheng2			
eng	傖	伧	cheng2			
eng	堸		feng2			
eng	彭		peng2			
eng	揨		cheng2			
eng	曾		ceng2			
eng	棖	枨	cheng2			
eng	棚		peng2			
eng	棱		leng2			
eng	椉		cheng2			
eng	渢		feng2			
eng	湞	浈	cheng2			
eng	祾		leng2			
eng	程		cheng2			
eng	筕		heng2			
eng	筬		cheng2			
eng	裎		cheng2			
eng	馮	冯	feng2			
eng	䀄		meng2			
eng	䇸		cheng2			
eng	䚘		cheng2			
eng	塍		cheng2			
eng	塖		cheng2			
eng	夢	梦	meng2			
eng	嫇		meng2			
eng	幐		teng2			
eng	搒		peng2			
eng	楞		leng2			
eng	溗		cheng2			
eng	漨		feng2			
eng	蒙		meng2			
eng	蒡		peng2			
eng	蓬		peng2			
eng	蜂		peng2			
eng	誠	诚	cheng2			
eng	雺		meng2			
eng	稜	棱	leng2			
eng	䁎		cheng2			
eng	榜		peng2			
eng	甍		meng2			
eng	酲		cheng2			
eng	䄘		peng2			
eng	䯒		heng2			
eng	層	层	ceng2			
eng	憉		peng2			
eng	憕		cheng2			
eng	滕		teng2			
eng	澂	澄	cheng2			
eng	澄		cheng2			
eng	澎		peng2			
eng	瞢		meng2			
eng	蕄		meng2			
eng	蝱		meng2			
eng	輘		leng2			
eng	輣		peng2			
eng	鄳		meng2			
eng	髳		meng2			
eng	䪫		heng2			
eng	䫆		cheng2			
eng	儜		neng2			
eng	幪		meng2			
eng	憴		cheng2			
eng	懜		meng2			
