韻	字	簡化字	推導音	校正音	罕用標記	註
i	一		yi1			
i	乙		yi1			
i	七		ci1			
i	冂		mi1			
i	冖		mi1			
i	力		li1			
i	丌		ji1			
i	乞		qi1			
i	弋		yi1			
i	丮		ji1			
i	仂		li1			
i	匹		pi1			
i	弌		yi1			
i	弔	吊	di1			
i	㘝		ni1			
i	丕		pi1			
i	仡		xi1			
i	仡		yi1			
i	卌		si1			
i	卟		ji1			
i	屴		li1			
i	必		bi1			
i	氐		di1			
i	肊		yi1			
i	立		li1			
i	㐆		yi1			
i	㔻		pi1			
i	㚤		yi1			
i	㣿		di1			
i	㲺		zi1			
i	䦼		pi1			
i	乩		ji1			
i	亦		yi1			
i	伊		yi1			
i	伋		ji1			
i	刏		ji1			
i	吃		ji1			
i	吉		ji1			
i	吸		xi1			
i	圪		yi1			
i	妃		fi1			
i	屰		yi1			
i	屹		yi1			
i	岌		yi1			
i	彶		ji1			
i	忔		xi1			
i	忚		xi1			
i	扚		di1			
i	扢		ji1			
i	朸		li1			
i	机		ji1			
i	汔		xi1			
i	汲		ji1			
i	糸		mi1			
i	肌		ji1			
i	芅		yi1			
i	芍		di1			
i	芨		ji1			
i	衣		yi1			
i	西		si1			
i	迄		xi1			
i	伾		pi1			
i	低		di1			
i	佚		yi1			
i	劮		yi1			
i	卤		si1			
i	即		zi1			
i	妓		ji1			
i	希		xi1			
i	忾		xi1			
i	批		pi1			
i	抑		yi1			
i	杓		di1			
i	杙		yi1			
i	汨		mi1			
i	沕		mi1			
i	泐		li1			
i	玓		di1			
i	皀		bi1			
i	皀		ji1			
i	耴		yi1			
i	肑		di1			
i	邑		yi1			
i	陂		bi1			
i	㘠		bi1			
i	㩺		pi1			
i	㭊		si1			
i	䄩		yi1			
i	䧇		yi1			
i	亟		ji1			
i	佾		yi1			
i	依		yi1			
i	其		ji1			
i	卑		bi1			
i	咇		bi1			
i	奃		di1			
i	奇		ji1			
i	妻		ci1			
i	宓		mi1			
i	居		ji1			
i	岦		li1			
i	岻		di1			
i	帔		pi1			
i	怌		pi1			
i	披		pi1			
i	抾		qi1			
i	昔		si1			
i	枅		ji1			
i	析		si1			
i	欥		yi1			
i	泆		yi1			
i	泣		qi1			
i	狓		pi1			
i	疙		yi1			
i	的		di1			
i	肸		xi1			
i	苙		li1			
i	苟		ji1			
i	苤		pi1			
i	虮		ji1			
i	郆		ji1			
i	非		fi1			
i	泌		bi1			
i	易		yi1			
i	刺		ci1			
i	㛄		yi1			
i	㣟		xi1			
i	㱞		yi1			
i	㱟		pi1			
i	㽺		ji1			
i	㿫		pi1			
i	䒊		xi1			
i	䒗		qi1			
i	䒗		xi1			
i	䘝		yi1			
i	俙		xi1			
i	卽		zi1			
i	咠		ci1			
i	咠		zi1			
i	咦		xi1			
i	咭		xi1			
i	咿		yi1			
i	奕		yi1			
i	孨		ni1			
i	屎		xi1			
i	帟		yi1			
i	弈		yi1			
i	急		ji1			
i	恄		xi1			
i	拮		ji1			
i	昵		ni1			
i	柒		ci1			
i	柢		di1			
i	柲		bi1			
i	欪		xi1			
i	洁		ji1			
i	洓		ci1			
i	狤		ji1			
i	珌		bi1			
i	畐		pi1			
i	砒		pi1			
i	竒		ji1			
i	級	级	ji1			
i	衵		ni1			
i	迹		zi1			
i	逆		yi1			
i	郤		qi1			
i	飛	飞	fi1			
i	契		qi1			
i	㤸		xi1			
i	㩻		qi1			
i	㰩		xi1			
i	㳟		ci1			
i	䂑		zi1			
i	䏘		pi1			
i	䣧		yi1			
i	䧑		di1			
i	䴬		yi1			
i	倜		ti1			
i	借		zi1			
i	凄		ci1			
i	剔		ti1			
i	唈		yi1			
i	唧		zi1			
i	堲		zi1			
i	姬		ji1			
i	娭		xi1			
i	射		yi1			
i	屖		si1			
i	恧		ni1			
i	息		si1			
i	悂		bi1			
i	悂		pi1			
i	悈		ji1			
i	悒		yi1			
i	挹		yi1			
i	揤		zi1			
i	栖		si1			
i	欯		xi1			
i	浠		xi1			
i	浥		yi1			
i	狴		bi1			
i	畟		zi1			
i	畢	毕	bi1			
i	眡		di1			
i	砬		li1			
i	秛		pi1			
i	秝		li1			
i	秠		pi1			
i	笄		ji1			
i	紕	纰	pi1			
i	脊		zi1			
i	莃		xi1			
i	莔		xi1			
i	袛		di1			
i	訖	讫	ji1			
i	逖		ti1			
i	速		zi1			
i	郪		ci1			
i	陭		yi1			
i	飢	饥	ji1			
i	鬲		li1			
i	栗		li1			
i	益		yi1			
i	㓳		di1			
i	㥋		yi1			
i	㥓		qi1			
i	㶼		xi1			
i	䚷		yi1			
i	偪	逼	bi1			
i	副		pi1			
i	啇		di1			
i	埸		yi1			
i	基		ji1			
i	娸		qi1			
i	婓		fi1			
i	密		mi1			
i	崎		qi1			
i	庴		zi1			
i	悉		si1			
i	悐		ti1			
i	悽	凄	ci1			
i	惕		ti1			
i	惜		si1			
i	戚		ci1			
i	掎		ji1			
i	掖		yi1			
i	旇		pi1			
i	晞	曦	xi1			
i	桸		xi1			
i	桼		ci1			
i	梐		bi1			
i	梯		ti1			
i	楖		zi1			
i	欷		xi1			
i	液		yi1			
i	淅		si1			
i	淒	凄	ci1			
i	淧		mi1			
i	渒		bi1			
i	烯		xi1			
i	焁		xi1			
i	猗		yi1			
i	羛		xi1			
i	羝		di1			
i	翊		yi1			
i	翌		yi1			
i	翍		pi1			
i	耚		pi1			
i	聉		yi1			
i	菥		si1			
i	菲		fi1			
i	萁		ji1			
i	萋		ci1			
i	覓	觅	mi1			
i	谻		ji1			
i	赥		xi1			
i	逷		ti1			
i	郼		yi1			
i	釳		xi1			
i	釴		yi1			
i	隄	堤	di1			
i	隿		yi1			
i	匿		ni1			
i	笠		li1			
i	粒		li1			
i	逸		yi1			
i	㔸		ti1			
i	㥛		ji1			
i	㱤		si1			
i	㱦		ji1			
i	㱦		qi1			
i	䇫		ji1			
i	䍊		qi1			
i	䖑		mi1			
i	凓		li1			
i	厤		li1			
i	啙		zi1			
i	喫	吃	qi1			
i	堛		pi1			
i	堤		di1			
i	壹		yi1			
i	幅		bi1			
i	幾	几	ji1			
i	悲		bi1			
i	惁		si1			
i	惄		ni1			
i	愊		pi1			
i	戟		ji1			
i	扉		fi1			
i	揊		pi1			
i	揖		yi1			
i	揥		di1			
i	攲		ji1			
i	攲		qi1			
i	晰		si1			
i	朞		ji1			
i	棘		ji1			
i	棤		si1			
i	棲	栖	si1			
i	椅		yi1			
i	椑		bi1			
i	欹		yi1			
i	欺		qi1			
i	殛		ji1			
i	湆		qi1			
i	湒		zi1			
i	湢		bi1			
i	焟		si1			
i	焲		yi1			
i	焷		bi1			
i	犀		si1			
i	犄		yi1			
i	猆		fi1			
i	皕		bi1			
i	睇		ti1			
i	睎		xi1			
i	硩		ti1			
i	稀		xi1			
i	筆	笔	bi1			
i	粞		si1			
i	給	给	ji1			
i	翕		xi1			
i	翖		xi1			
i	腊		si1			
i	腋		yi1			
i	舄		si1			
i	葺		ci1			
i	葺		zi1			
i	蛡		yi1			
i	蛣		qi1			
i	詆	诋	ti1			
i	詑		xi1			
i	詖		bi1			
i	豾		pi1			
i	趆		di1			
i	軼	轶	yi1			
i	逼		bi1			
i	鄎		si1			
i	鈚		pi1			
i	隙		qi1			
i	靮		di1			
i	鳦		yi1			
i	㓖		bi1			
i	㔴		yi1			
i	㗗		bi1			
i	㗚		li1			
i	㟳		li1			
i	㡗		xi1			
i	㡙		bi1			
i	㮚		li1			
i	㴒		yi1			
i	㽡		bi1			
i	㾨		yi1			
i	䁇		mi1			
i	䇐		li1			
i	䓃		yi1			
i	䖒		xi1			
i	䚙		xi1			
i	䬫		di1			
i	亄		yi1			
i	僁		si1			
i	勣	绩	zi1			
i	厀		si1			
i	嗌		yi1			
i	塓		mi1			
i	塛		li1			
i	媐		xi1			
i	媳		si1			
i	孴		yi1			
i	嵠		qi1			
i	幎		mi1			
i	彃		bi1			
i	愵		ni1			
i	搮		li1			
i	敫		ji1			
i	楅		bi1			
i	溢		yi1			
i	溧		li1			
i	溪		qi1			
i	滭		bi1			
i	煜		yi1			
i	畸		ji1			
i	痬		yi1			
i	痺	痹	bi1			
i	皙		si1			
i	皵		ci1			
i	睪	睾	yi1			
i	碑		bi1			
i	碕	崎	qi1			
i	禕		yi1			
i	稘		ji1			
i	綌		qi1			
i	腣		di1			
i	蒚		li1			
i	蒠		si1			
