韻	字	簡化字	推導音	校正音	罕用標記	註
ou	丩		jou1			
ou	勼		jou1			
ou	勾		gou1			
ou	丘		qou1			
ou	句		gou1			
ou	丟	丢	diou1			
ou	丠		qou1			
ou	休		xou1			
ou	州		zhou1			
ou	收		shou1			
ou	朻		jou1			
ou	舟		zhou1			
ou	㽱		jou1			
ou	吺		dou1			
ou	妋		you1			
ou	芤		kou1			
ou	邱		qou1			
ou	侜		zhou1			
ou	呦		you1			
ou	周		zhou1			
ou	妯		chou1			
ou	怮		you1			
ou	抽		chou1			
ou	泑		you1			
ou	䡂		jou1			
ou	侸		dou1			
ou	修		siou1			
ou	剅		dou1			
ou	咮		zhou1			
ou	咻		xou1			
ou	幽		you1			
ou	庥		xou1			
ou	恘		qou1			
ou	枸		gou1			
ou	洲		zhou1			
ou	秋		ciou1			
ou	秌		ciou1			
ou	訄		qou1			
ou	迺	乃	ziou1			
ou	郖		dou1			
ou	冓		gou1			
ou	捜		shou1			
ou	涑		sou1			
ou	烋		xou1			
ou	羞		siou1			
ou	脩	修	siou1			
ou	郮		zhou1			
ou	郰		zhou1			
ou	陬		zhou1			
ou	陬		zou1			
ou	㾋		xou1			
ou	䑦		gou1			
ou	偷		tou1			
ou	兜		dou1			
ou	區	区	ou1			
ou	啁		zhou1			
ou	夠	够	gou1			
ou	夠	够	kou1			
ou	婤		chou1			
ou	婤		zhou1			
ou	惆		qou1			
ou	惆		chou1			
ou	掫		zou1			
ou	矪		zhou1			
ou	脙		xou1			
ou	菆		zhou1			
ou	蚯		qou1			
ou	鄋		shou1			
ou	㲃		qou1			
ou	兠		dou1			
ou	啾		ziou1			
ou	喌		zhou1			
ou	媮	偷	tou1			
ou	廋		shou1			
ou	揂		ziou1			
ou	揪		ziou1			
ou	搜		shou1			
ou	棷		zhou1			
ou	棷		zou1			
ou	湫		ciou1			
ou	湫		ziou1			
ou	溲		shou1			
ou	獀		shou1			
ou	萩		ciou1			
ou	蒐	搜	shou1			
ou	軥		gou1			
ou	遒		ziou1			
ou	鄒	邹	zhou1			
ou	㗕		gou1			
ou	㨨		chou1			
ou	剾		kou1			
ou	剾		ou1			
ou	彀		gou1			
ou	揫		ziou1			
ou	搊		chou1			
ou	楸		ciou1			
ou	溝	沟	gou1			
ou	貅		xou1			
