韻	字	簡化字	推導音	校正音	罕用標記	註
u	乀		fu1			
u	卜		bu1			
u	亍		chu1			
u	兀		wu1			
u	勿		wu1			
u	夫		fu1			
u	巿		fu1			
u	攴		pu1			
u	木		mu1			
u	不		bu1			
u	不		fu1			
u	出		chu1			
u	圣		ku1			
u	弗		fu1			
u	扑		pu1			
u	疋		shu1			
u	目		mu1			
u	㢪		ku1			
u	㢪		wu1			
u	伆		wu1			
u	刖		wu1			
u	圬		wu1			
u	尗		shu1			
u	屼		wu1			
u	扝		ku1			
u	扝		wu1			
u	扢		gu1			
u	扤		wu1			
u	朱		zhu1			
u	朷		mu1			
u	汚		wu1			
u	污		wu1			
u	甪	角	lu1			
u	甶		fu1			
u	竹		zhu1			
u	肉		rhu1			
u	虍		hu1			
u	邞		fu1			
u	列		zhu1			
u	㑁		zhu1			
u	㒴		gu1			
u	㕯		nu1			
u	㠸		fu1			
u	㩿		ku1			
u	冹		fu1			
u	刜		fu1			
u	初		chu1			
u	告		ku1			
u	呋		fu1			
u	妋		fu1			
u	孚		fu1			
u	宊		tu1			
u	岉		wu1			
u	扶		fu1			
u	抐		nu1			
u	杇	圬	wu1			
u	杌		wu1			
u	束		shu1			
u	汩		gu1			
u	沃		wu1			
u	沐		mu1			
u	沕		wu1			
u	禿	秃	tu1			
u	秃		tu1			
u	芴		wu1			
u	芾		fu1			
u	角		lu1			
u	谷		gu1			
u	谷		lu1			
u	㤕		chu1			
u	㤕		zhu1			
u	侏		zhu1			
u	刳		ku1			
u	卒		cu1			
u	卒		zu1			
u	叔		shu1			
u	呱		gu1			
u	呼		hu1			
u	咄		du1			
u	咕		gu1			
u	坶		mu1			
u	姇		fu1			
u	姑		gu1			
u	孤		gu1			
u	帗		fu1			
u	彔		lu1			
u	彿	佛	fu1			
u	忽		hu1			
u	怵		chu1			
u	抪		bu1			
u	拂		fu1			
u	於		wu1			
u	昒		hu1			
u	昒		wu1			
u	曶		hu1			
u	沮		zhu1			
u	沽		gu1			
u	泏		ku1			
u	泏		zhu1			
u	泒		gu1			
u	泭		fu1			
u	牧		mu1			
u	物		wu1			
u	玞		fu1			
u	矹		wu1			
u	矻		ku1			
u	竺		du1			
u	竺		zhu1			
u	肤		fu1			
u	肧		fu1			
u	肭		nu1			
u	苖		chu1			
u	苜		mu1			
u	苸		hu1			
u	苽		gu1			
u	茀		fu1			
u	茁		zhu1			
u	豖	亍	chu1			
u	邾		zhu1			
u	郀		ku1			
u	㑛		shu1			
u	㑛		su1			
u	㕊		fu1			
u	㞕		su1			
u	㱠		ku1			
u	䃿		fu1			
u	䄮		fu1			
u	䑢		wu1			
u	䧊		ku1			
u	俘		fu1			
u	咮		zhu1			
u	咰		shu1			
u	姝		chu1			
u	屋		wu1			
u	帥	帅	shu1			
u	怤		fu1			
u	恗		hu1			
u	挎		ku1			
u	昢		pu1			
u	枯		ku1			
u	柎		fu1			
u	柧		gu1			
u	柫		fu1			
u	柮		du1			
u	柷		chu1			
u	柷		zhu1			
u	欪		chu1			
u	洬		su1			
u	洿		wu1			
u	炪		chu1			
u	祓		fu1			
u	祝		zhu1			
u	胍		gu1			
u	胐		ku1			
u	茿		zhu1			
u	荂		fu1			
u	衭		fu1			
u	郙		fu1			
u	郛		fu1			
u	郜		ku1			
u	陠		bu1			
u	陠		pu1			
u	骨		gu1			
u	㙁		mu1			
u	㛘		pu1			
u	㦵		zhu1			
u	㼋		gu1			
u	㽾		wu1			
u	㾁		hu1			
u	㾇		mu1			
u	䂐		zhu1			
u	俶		chu1			
u	倅		zu1			
u	倏		shu1			
u	倐		shu1			
u	剢		du1			
u	匫		hu1			
u	哭		ku1			
u	哱		pu1			
u	哹		fu1			
u	唂		gu1			
u	娽		lu1			
u	尃		fu1			
u	峬		bu1			
u	庩		tu1			
u	庯		bu1			
u	悇		tu1			
u	捈		tu1			
u	敊		chu1			
u	書	书	shu1			
u	朒		rhu1			
u	株		zhu1			
u	毣		mu1			
u	涑		su1			
u	烏	乌	wu1			
u	珠		zhu1			
u	畜		chu1			
u	租		zu1			
u	秠		fu1			
u	窋		zhu1			
u	笏		hu1			
u	紑		fu1			
u	紓	纾	shu1			
u	罛		gu1			
u	芻	刍	chu1			
u	荲		chu1			
u	莤		shu1			
u	莩		fu1			
u	蚞		mu1			
u	衃		fu1			
u	衄		rhu1			
u	軏		wu1			
u	辱		rhu1			
u	逋		bu1			
u	透		shu1			
u	速		su1			
u	㙇		chu1			
u	㣎		mu1			
u	㥆		tu1			
u	㧾		ku1			
u	㲗		fu1			
u	䝆		hu1			
u	䦍		wu1			
u	䯇		ku1			
u	偪	逼	fu1			
u	剭		wu1			
u	副		fu1			
u	啄		du1			
u	啒		gu1			
u	啒		hu1			
u	埱		chu1			
u	堀		ku1			
u	惚		hu1			
u	掓		shu1			
u	晡		bu1			
u	桴		fu1			
u	梀		chu1			
u	梀		cu1			
u	梀		su1			
u	梌		tu1			
u	梏		ku1			
u	梳		shu1			
u	棁		tu1			
u	殍		fu1			
u	殐		su1			
u	淈		gu1			
u	淥	渌	lu1			
u	淴		wu1			
u	渌		lu1			
u	焅		ku1			
u	牿		ku1			
u	猝		cu1			
u	猪		zhu1			
u	珿		chu1			
u	盓		wu1			
u	硃	朱	zhu1			
u	硉		lu1			
u	祰		ku1			
u	秼		zhu1			
u	笰		fu1			
u	紨		fu1			
u	紱	绂	fu1			
u	紼	绋	fu1			
u	絀	绌	zhu1			
u	翇		fu1			
u	艴		fu1			
u	菇		gu1			
u	菰		gu1			
u	菹		zhu1			
u	菽		shu1			
u	虖	呼	hu1			
u	蛄		gu1			
u	袾		chu1			
u	袾		zhu1			
u	觕		chu1			
u	觕		cu1			
u	訥	讷	nu1			
u	趺		fu1			
u	逫		zhu1			
u	鄃		shu1			
u	釫		wu1			
u	隃		shu1			
u	鹿		lu1			
u	率		shu1			
u	㑳		zhu1			
u	㙏		fu1			
u	㡏		shu1			
u	㡔		mu1			
u	㪐		lu1			
u	㪖		lu1			
u	㰲		zhu1			
u	㲞		su1			
u	㻌		tu1			
u	䀰		gu1			
u	䇬		chu1			
u	䟣		chu1			
u	䩐		hu1			
u	傗		chu1			
u	喌		zhu1			
u	嗢		wu1			
u	媢		mu1			
u	尳		gu1			
u	属		zhu1			
u	幅		fu1			
u	愲		gu1			
u	揾		wu1			
u	棴		su1			
u	琡		chu1			
u	琡		zhu1			
u	琭		lu1			
