韻	字	簡化字	推導音	校正音	註	字頻
y	之		zhy1			327781
ui	回		hui2			225564
?	地		?	di4		205837
y	是		shy4			182405
e	得		de1			170044
ang	上		shang4			169018
ung	中		zhung1			163520
ung	中		zhung4			163520
i	的		di1			161997
o	我		eo3	wo3		160394
ou	有		you3			153109
au	了		liau3			127241
e	或		hue2			123208
en	人		rhen2			120173
o	和		huo2			114567
o	和		huo4	*		114567
an	年		nian2			112664
a	下		xa4			111802
y	試	试	shy4			102404
o	他		tuo1	ta3		101399
u	所		shu3	shuo3		100492
ai	大		dai4	*		95678
o	大		duo4	da4		95678
y	而		el2			91929
ui	對	对	dui4			91128
i	你		ni3			89941
au	倒		dau3			87710
au	倒		dau4			87710
au	號	号	hau2	*		85260
au	號	号	hau4			85260
e	也		ye3			84348
y	時	时	chy2	shy2		83240
y	十		shy2			83239
u	不		bu1			82909
u	不		fu1	*		82909
u	不		fu3	*		82909
ing	請	请	cing2	*		80875
ing	請	请	cing3			80875
ing	請	请	zing4	!		80875
ou	區	区	ou1	*		80194
iu	區	区	qu1			80194
y	日		rhy1			79754
u	於		wu1	*		78835
iu	於		yu1			78835
e	月		yue1			77906
o	者		zheo3	zheo3 zhe3		77478
au	小		siau3			77311
e	頁	页	xe2	ye1		77248
au	要		yau1			76970
au	要		yau4			76970
o	藥	药	liuo1	!		76386
o	藥	药	yuo1			76386
ing	名		ming2			73301
en	本		ben3			73202
o	可		keo3			73173
an	三		san1			73154
an	三		san4	san3		73154
ai	來	来	lai2			69889
ai	等		dai3	!		69748
eng	等		deng3			69748
i	奇		ji1	*		68836
i	奇		qi2			68836
i	騎	骑	qi2			66987
i	騎	骑	ji4			66987
ou	後	后	hou4			66765
an	這	这	yan4	zheo4		66602
i	齊	齐	ci2			66377
i	齊	齐	zi4			66377
i	期		qi2		qi1 ?	66135
i	其		ji1	*		66109
i	其		qi2			66109
i	旗		qi2			66107
i	棋		qi2			66107
au	到		dau4			65361
au	盜	盗	dau4			65350
y	二		el4			64877
an	但		tan2	!		63849
an	但		dan4			63849
iung	用		yung4			61256
u	路		lu4			61183
i	一		yi1			60104
an	元		yuan2			59466
an	園	园	yuan2			59465
an	圓	圆	siuan2	!		59465
an	圓	圆	yuan2			59465
an	緣	缘	yuan2			59465
an	緣	缘	yuan4	!		59465
i	弟		di4			59254
i	第		di4			59239
an	間	间	jan1			56706
an	間	间	jan4			56706
ing	氏		zing1	!		52462
y	氏		zhy1	*		52462
y	氏		shy4			52462
y	士		shy4			52404
y	市		shy4			52404
y	嗜		shy4			52404
y	式		shy1		+ chy ?	52404
y	室		shy1	shy2		52404
y	事		shy4			52404
y	事		zhy4			52404
en	陳	陈	chen2			51707
en	陳	陈	zhen4	!		51707
u	主		zhu3			51412
a	華	华	hua1			51097
a	華	华	hua2	*		51097
a	華	华	hua4	*		51097
iu	錄	录	liu1	lu1		49969
e	業	业	ye1			49775
an	陝	陕	shan3			48357
ai	能		nai2	!		46954
ai	能		nai4	!		46954
eng	能		neng2			46954
eng	能		neng3	!		46954
ang	長	长	chang2			46276
ang	長	长	zhang3			46276
ang	長	长	zhang4	!		46276
ang	讓	让	rhang4			45928
un	文		wun2			45789
e	說	说	yue1	*		45212
ui	說	说	shui4			45212
o	說	说	shuo1			45212
y	至		zhy4			44970
y	此		cy3			44322
u	都		du1	du1 dou3*		44055
y	四		sy4			43282
ang	行		hang2			42898
ang	行		hang4	!		42898
eng	行		heng2	xing2		42898
eng	行		heng4	!		42898
ui	內	内	nui4			42895
an	站		zhan4			42575
an	戰	战	zhan4			42574
an	佔	占	dian1	zhan4		42574
a	法		fa1			42213
an	暫	暂	zan4		zhan4 ?	42014
u	如		rhu2			41812
u	如		rhu4	!		41812
an	店		dian4			41203
o	多		duo1			40785
e	國	国	gue1			40672
i	給	给	ji1			40453
au	表		biau3			38569
o	學	学	xuo2			38394
en	分		fen1			38282
en	分		fen4			38282
iung	從	从	ciung1	*		38217
iung	從	从	ciung2			38217
iung	從	从	ziung4	*		38217
au	高		gau1			38068
o	那		nuo2	*		37997
o	那		nuo3	na3*		37997
o	那		nuo4	na4		37997
an	版		ban3			37733
i	被		bi4	bei4		37710
i	被		pi4	!		37710
i	美		mi3	mei3		37565
ei	每		mei3			37565
ei	每		mei4	!		37565
ui	最		zui4			37526
au	教		jau1			37448
au	教		jau4			37448
a	家		ja1			37052
a	加		ja1			37052
o	各		geo1			37051
a	佳		ja1	ja3		37000
a	嘉		ja1			37000
u	組	组	zu3			36891
o	個	个	geo4			36766
ai	載	载	zai3			36634
ai	載	载	zai4			36634
ai	再		zai4			36484
ai	在		zai4			36484
u	署		shu4	shu3		36447
eng	曾		zeng1			35908
eng	曾		ceng2			35908
y	使		shy3			35571
y	使		shy4	!		35571
an	全		ciuan2			35212
ing	型		xing2			34993
ing	形		xing2			34992
ing	刑		xing2			34992
an	邢		qan1	!		34990
ing	邢		xing2			34990
o	哪		nuo3	na3		34771
ang	張	张	zhang1			34100
ang	張	张	zhang4	*		34100
ang	章		zhang1			34065
i	衣		yi1			34030
i	衣		yi4	*		34030
i	依		yi1			34000
i	醫	医	yi1			34000
in	今		jin1			33812
in	金		jin1			33812
e	則	则	ze1			33335
y	姿		zy1			33296
y	資	资	zy1			33295
ou	又		you4			32981
ai	台		tai1	tai1* tai2		32727
i	台		yi2	*		32727
eng	生		sheng1			32705
eng	生		sheng4	*		32705
ing	經	经	jing1			32383
ing	經	经	jing4	*		32383
ing	驚	惊	jing1			32382
ui	鬼		gui3			32359
ing	精		zing1			32300
ing	精		zing4	*		32300
ou	就		ziou4			32275
ou	舊	旧	jou4			32274
ou	救		jou4			32274
ung	總	总	zung3			31985
u	屬	属	zhu1	*		31808
u	屬	属	shu2		?	31808
an	天		tian1			31487
u	五		wu3			31344
au	好		hau3			31218
au	好		hau4			31218
i	系		xi4			31092
o	數	数	shuo1			30926
u	數	数	shu3			30926
u	數	数	shu4			30926
u	恕		shu4			30916
u	束		shu1	shu1 chu1*		30915
u	暑		shu3			30915
u	樹	树	shu4			30915
u	鼠		shu3			30915
